"Multi-Country Media Trend","","","Geography :: Worldwide, Non-US, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, Argentina, Australia, Austria                                                               ...","","","","","","My Metrix"
"Wikimedia Foundation Sites","","","Universe :: Home and Work","","","","","","(c)2014 comScore, Inc"
"","","","Time Period :: April 2013 - April 2014","","","","","",""
"","","","Target :: Persons 15+","","","","","",""
"","","","Media :: Wikimedia Foundation Sites","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 6/1/2014","","","","","",""

"","","[P] Wikimedia Foundation Sites","","","","","","","","","","",""
"","","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Dec-2013","Jan-2014","Feb-2014","Mar-2014","Apr-2014"
"1","    United States","85,546","83,875","78,190","81,411","81,212","82,731","85,391","82,397","76,353","72,486","67,289","67,863","61,747"
"2","    Worldwide","516,749","521,767","499,578","492,107","496,875","505,904","530,471","532,699","490,200","495,362","474,139","495,184","465,494"
"3","    Non-US","431,203","437,892","421,388","410,695","415,663","423,173","445,080","450,302","413,847","422,876","406,850","427,321","403,747"
"4","    Canada","15,087","14,791","14,251","13,683","13,480","13,789","14,152","13,827","12,885","13,323","12,491","12,256","11,549"
"5","    Argentina","6,429","6,617","6,461","6,106","7,036","6,659","7,068","6,935","5,314","4,602","4,982","5,951","6,434"
"6","    Australia","5,688","5,984","5,669","5,358","5,549","5,306","5,409","5,191","4,439","4,540","4,421","4,711","5,934"
"7","    Austria","2,197","2,252","2,159","1,917","1,926","2,001","2,052","2,077","1,967","2,187","1,864","2,075","1,935"
"8","    Belgium","2,696","2,868","2,665","2,218","2,449","2,495","2,709","2,677","2,375","2,468","2,246","2,049","1,836"
"9","    Brazil","29,931","29,791","30,366","26,173","28,079","27,982","28,839","29,521","23,443","21,844","23,298","27,021","25,842"
"10","    Chile","2,598","2,610","2,640","2,414","2,479","2,266","2,486","2,461","1,919","1,577","1,388","2,046","2,136"
"11","    China","7,412","8,173","7,265","7,996","7,828","6,147","7,900","8,437","8,684","7,188","7,981","11,491","10,378"
