"MEDIA TREND REPORT","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: All Locations","","","","","","(c)2009 comScore, Inc"
"","","","Time Period :: August 2008 - October 2009","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 11/28/2009","","","","","",""

"","","","Aug-2008","Sep-2008","Oct-2008","Nov-2008","Dec-2008","Jan-2009","Feb-2009","Mar-2009","Apr-2009","May-2009","Jun-2009","Jul-2009","Aug-2009","Sep-2009","Oct-2009",
"22","[P]","    Viacom Digital","88239.5095510191","87198.9933186784","89793.4413356127","88478.3288098319","90098.6046203515","92193.8589326027","91484.1641969798","97221.4783613478","97238.4757212374","97018.8744268213","100555.71591201","101528.923708161","98669.87906669","95490.9417522713","96631.1592475867",
"23","[P]","    NetEase.com Inc.","88950.8626286375","82918.3884422413","81618.1598778231","79452.5890650224","78656.5359154841","70925.1438534926","76054.7139784617","76297.2707484522","75533.9161748013","69095.8458514849","73026.5608521891","75241.6917009044","82069.5009168047","86774.4385750389","93950.4357745587",
"24","[P]","    New York Times Digital","69428.9810770828","73219.5065069728","74104.0721813261","74082.3562376921","73466.8220507382","85819.5873672459","83900.5164171403","87705.3318478685","85778.6782908192","84111.3266326997","80054.2796630162","81169.8027378171","83293.9576728089","86648.1287020468","91515.0555251954",
"25","[P]","    Turner Network","74478.1762205847","71678.1007424778","72197.4773121429","76460.9137285749","73052.3009158954","85784.6372814794","77830.3049856062","78052.1310897954","79488.4709732881","79520.0457115062","81476.4946392824","81575.7836370605","76308.5792914484","75835.497242008","90422.283056946",
"26","[P]","    Sohu.com Inc.","88476.9463548699","85426.4528750039","81860.1275523842","79745.8697834565","85866.4256867726","76419.6080351497","80777.3659689573","81026.5760670544","80113.3640016903","69524.2756987209","70983.5936364047","76919.5466999057","82719.1950839076","81062.1919778308","84744.1717986455",
"27","[P]","    Real.com Network","76117.0231880366","73430.1925681442","74439.9624654854","74443.8448790993","75819.229205833","77149.6488322597","79927.3802125365","83971.2489332718","83363.0627204149","80082.2409633227","78115.0668219946","86400.9641931524","80792.5072770917","77981.3764089302","84513.672911463",
"28","[P]","    Answers.com Sites","34079.4117023095","39597.9003372015","41814.0304665995","41544.9676738134","39696.276425611","44958.2529407353","45702.89910544","50175.9574503074","51780.064702013","52659.8064337434","48260.522201512","51578.5114684381","65929.9966174698","83059.3531598043","84120.1609421886",
"29","[P]","    RapidShare AG","45441.8029464186","46224.0906794111","49508.0472325975","55209.1890767851","59289.1897972612","64872.2172199437","71469.4369399602","79561.6246235234","77053.3590246977","79201.3772093076","75470.2760170581","79125.3173212691","78902.8113634977","77833.0743246619","83193.5716320538",
"30","[P]","    Demand Media","37393.031634146","36891.2752785999","40057.7394452275","38087.2026896313","41145.9983740674","43813.5472045192","43700.280763635","47480.8124439677","48442.3840102194","50112.1899749214","46658.6338198434","52606.4430036702","54643.4357369047","73394.4909462236","76939.0710936536",
"31","[P]","    BitTorrent Network","30148.0945500401","30656.2584809457","32825.386300901","36328.8054985642","41332.0708058044","44533.4283983819","47296.0702597651","52276.2251994239","55390.4133407105","57363.6083207885","60312.6415416768","63323.9572558176","66186.8415574139","68277.1479728896","73800.555027636",
"32","[P]","    Sony Online","56364.008484989","54643.5900859032","55453.2395491064","60933.3150327565","64409.0919413125","62630.1147423153","57930.1488638287","57332.7154691721","58110.2044773266","63566.4238297016","62856.6442513724","62178.6440553103","61505.8058257226","65663.7930290689","68946.8713023895",
"33","[P]","    Xunlei Networking","76484.5357440137","84985.4491912523","78187.7983279651","86303.0621374955","93121.3495681953","85473.8047029609","82952.5894217157","74168.6525560972","68501.3467901194","63075.9455062144","68048.8662472984","69579.5453033621","72969.2176611946","65737.7352592826","67562.0720797558",
"34","[P]","    Technorati Media","11990.3016898208","27075.4140485224","34588.2844803531","36953.4855546658","34974.276216683","39531.6171398149","44847.1019769632","59396.5553740796","57461.6066722555","61334.4711892207","51379.2818982255","58260.8226628992","69336.6552986341","76877.8961664422","66273.0290650616",
"35","[P]","    Tudou Sites","N/A","58115.1465272331","59833.4113623333","59239.5828717297","65564.775538984","66080.3949102429","62144.4524837852","58410.3553600912","57408.4490715101","49313.819530509","50310.4814610711","57458.7569736493","60207.7323423884","58352.256951913","63821.9811731409",
"36","[P]","    Photobucket.com LLC","46166.9807592883","43927.5207352023","45450.0365776739","44927.2804613664","46303.1622025211","48842.1741390248","58571.2597531946","86406.4364852389","62011.4686187807","75804.9548581001","59609.6005599231","63893.9364603442","61624.9782494746","59849.4524378945","62092.7211641425",
"37","[P]","    Break Media","29779.3876224224","31438.3862883415","31970.0070955288","33454.097313395","36641.0627474021","39918.2993420522","41731.7930754189","44754.1955146408","45793.901515468","53316.0047742711","52208.3300423634","57333.4971670314","55895.7956611577","59961.4365562666","61806.7409251905",
"38","[P]","    Gorilla Nation","67134.0556471226","62569.8506061297","65242.4563712629","57910.8729771145","61148.2407794657","64462.8174142344","63375.6256060127","68393.3963486427","65329.9429078289","65845.2713657977","59506.4085944242","64178.8715479876","61795.8572558974","59234.7804425122","61666.0600824074",
"39","[P]","    Lycos Sites","57951.2739321853","57082.5967514546","59591.9538320712","57841.639479445","56323.7164500055","58538.3339596824","61003.5491275558","64331.2962540698","62378.0938777398","60463.8540144249","56495.6115793704","57527.6057495881","57386.0616398163","57373.3566877712","60360.5578274247",
"40","[P]","    Expedia Inc","59216.2003078638","49626.7192748869","47842.8272796003","46625.5267895954","44409.8272265317","55480.6141789746","54497.1022828693","58895.8618125045","57929.7295013734","56453.4238089151","59572.1651069158","67218.2804245907","63559.6478605677","59685.1894122229","59176.7464663524",
"41","[P]","    DAILYMOTION.COM","33727.1952693785","32960.1762979505","37309.0675106363","39628.3147909895","40602.935773196","42872.3227849212","47693.3942134292","53553.7603294353","57775.1148081302","54494.6655305586","54529.23925537","57583.8069310113","58154.1642158672","55009.9218422662","58434.3254907513",
"42","[P]","    TWITTER.COM*","4303.7952449803","5570.2031281307","4360.6796040351","5137.2288301564","4354.1786021345","6090.2188161214","9821.18132190884","19114.892888522","32145.9910133302","37322.8990173015","44519.6572285109","51623.2078930796","54696.3654096055","58435.3982389177","58344.8308756909",
"43","[P]","    Orange Sites","52051.358347867","53396.6120495463","55062.9085117869","59515.2107604367","53859.8076319291","51517.8842073766","55094.5106211927","61078.8293610351","58117.7300186109","57707.8890805205","54779.6929417729","52108.1886403642","54322.526516258","55591.664303559","57756.3445605272",
"44","[P]","    Terra - Telefonica","46624.5103634426","48433.0393654606","48491.3593818635","46964.2441080858","50507.2089905436","49340.7536018876","50112.7082373594","54769.692441834","51700.8108752915","51864.3227400237","50324.2613462255","53810.1393749556","54544.7267885112","55290.2544080619","56834.5752723934",
"45","[P]","    BBC Sites","42844.6967918125","43948.7084702903","44037.8583015238","45531.1572114814","43502.3841182455","47655.8080015301","48376.5957398915","49827.7511180674","48765.4904816406","47399.6967171107","45223.5317925449","46038.0783528718","44599.2823176242","45465.4073936299","55305.9769660924",
"46","[P]","    MEGAUPLOAD.COM","20604.1081623017","21101.9222864685","22782.4815505857","24048.4302321292","27673.1167894828","31365.0579321359","34634.8643609293","45863.4196423682","46151.0022353121","44977.9499907419","44290.4422684166","49622.930688002","49991.8516999197","50369.6473325098","55205.1347419699",
"47","[P]","    Oak Pacific Interactive Sites","42651.4959453888","38483.6340014863","40369.3058933402","33937.772874012","38086.1614105565","35323.0706119674","34954.738617556","36684.9745502459","36521.1751675416","35315.9366852245","37050.2019230604","42231.4939532724","49848.6603991821","49090.0469183899","53978.5269071437",
"48","[P]","    Disney Online","55562.5416038788","52536.462663265","54640.807808111","51593.7774086675","55858.0655563559","51123.1747212383","50887.2783568222","51271.4989254733","48776.3493669814","46205.847918372","50250.5728502889","53828.0762650855","51714.7910825839","50802.571680807","53881.1770381941",
"49","[P]","    CONDUIT.COM","14880.4149992922","17155.2289831562","21375.5243431397","23251.2012980505","26339.0280928128","31817.1662605711","29556.0410002033","33440.7067553614","36502.5830125602","42697.1587508433","43470.9362305808","45574.0064766709","48272.9830789038","49108.5447160975","51699.2210979127",
"50","[P]","    Youku","64173.3984000299","75986.6116137013","73728.3184443249","66016.4759950951","67439.7177764138","61488.6210136277","61007.5901523863","62770.724447217","56499.1191848902","27945.1568872599","42295.8337174783","51799.8304027959","53105.0946629798","49625.9660044284","50935.4828624889",
"51","[P]","    Spil Games","46943.3621562898","43691.3341773787","44606.7764894753","44663.5002437663","46841.4581795791","47240.0318787044","49745.8920480619","48034.8660399196","48933.6295960161","52494.4999480336","47090.3379083463","53507.6521831986","51698.1890634388","48964.0242124835","50379.0165381831",
"52","[P]","    4SHARED.COM","15915.2524050446","17079.6058305773","18565.1744198259","19718.168217247","23529.5419897259","26062.9455397745","33541.4651531654","37997.7641070085","38512.7794645409","39209.3464180885","38646.4611648611","42199.9406228557","43731.3395224074","43767.7833651028","49575.184374695",
"53","[P]","    Deutsche Telekom","28887.821887106","27142.1869145466","27825.205859997","28368.0067413762","28043.5249850753","28253.4524905603","44992.4197827712","50982.41504426","48135.0284071895","44929.838289135","44954.4226358985","46678.1034593894","49389.2543687973","48344.2704736457","49381.4476853459",
"54","[P]","    Metacafe","37171.2311611474","38079.6333181904","37288.175388454","38937.0855630912","44675.9781576877","46741.7974725694","48695.5841718805","55652.4483223228","53715.2962662854","47062.445078119","48180.7896338351","50024.5632951438","46705.3900422306","44408.5743770371","47592.9113168248",
"55","[P]","    HI5.COM","55935.946942468","58669.3114302319","57210.9502598119","58069.1062325374","60862.3155230625","59694.4826625649","63269.7386617956","63651.7271592478","60789.0674671502","54635.0726200454","57699.0782053689","59427.3909385322","54374.3080108771","49546.1896674754","46987.4923300846",
"56","[P]","    craigslist, inc.","36368.9107305036","35933.4272844969","37836.0783802569","37083.7409910159","38328.7763205421","41433.5507399803","40571.3095057051","44363.5543975069","47783.4685672506","47001.3160175472","46991.7929481216","48941.6130625537","49436.1380309707","48210.9780519981","46213.8364642271",
"57","[P]","    Hewlett Packard","35027.3813292294","32895.6908495854","35529.3456501403","35344.6165537042","37446.8179453933","35580.1045408136","31951.8998518365","35399.6222935077","35991.4847796054","33206.5574554531","34708.5647857183","39396.1430696796","41199.4443893447","41564.0713435921","45918.8915419297",
"58","[P]","    PConline.cn Sites","38283.6623183812","38830.0571294372","39996.7093449539","38872.8198483573","41123.4593499821","38360.9279300363","39942.9216867485","37064.5175682585","35649.7228804558","32039.446723057","37003.1142081874","42913.3463975242","44355.2000893886","42826.1757771013","45566.3800488881",
"59","[P]","    Qihoo.com Sites","21841.0925423585","21179.1316981909","22921.1271184688","18560.0757553433","17322.1345068916","13760.7253195836","13687.7060917639","10726.777174596","8181.90795183079","7395.23288796022","9829.0654477993","11655.7148198761","11833.7676795847","8760.857176714","44171.4678449355",
"60","[P]","    Time Warner - Excluding AOL","59478.6625914381","52965.080966569","53439.5258868895","51980.1198236376","56207.7447755148","47727.4158768027","48768.9295960078","50067.7890068957","50471.2890188468","43662.7989386188","42259.0201716415","48561.0091208636","40415.6524085261","40913.8619389615","43628.6008026349",
"61","[P]","    Weather Channel, The","40871.0672002756","43164.4159927923","36497.0952549809","35391.999764838","44866.0767987108","43759.4661803132","41936.8857860186","43144.5970887347","44291.7816564732","43759.0300005561","44442.2486379673","44409.4405650191","44456.600780057","42289.3316665594","43487.5990707736",
"62","[P]","    Comcast Corporation","31812.3591569118","30376.5572307479","32546.1147249382","33034.6459003391","32896.1426534009","35733.202144155","34018.7894790863","34057.8810158793","34801.624615222","34650.8000734215","37968.6754377881","40419.0339565274","37619.7369680664","40144.2365714598","42355.1873735071",
"63","[P]","    Rakuten Inc","38008.1024911517","36987.6832792802","36687.2306128807","37322.8853017226","37529.1830909051","38583.2533558996","37974.1543720933","38703.4775311057","38500.1523376788","38145.2812743325","41255.9094316806","40215.6438084444","40934.3840914201","40736.2295620661","42220.1328465309",
"64","[P]","    FC2 inc.","34284.5723295589","34710.8673402577","34592.6120190926","35967.5317248554","36391.8264199939","36809.3319003108","35782.9554029002","37250.5077346507","37341.4597571611","38722.0209137578","41297.2978012668","39915.6391610475","41324.08876424","41709.6473879321","42200.8582136484",
"65","[P]","    iVillage.com: The Womens Network","29936.5354653844","29194.9041392589","30384.4029171434","29474.8299875531","30632.3845302392","31732.6261151377","30550.2374502546","32871.5304711373","33366.753932956","33210.7848259552","30120.551974891","30959.5646606161","32408.7707969857","39709.2757253982","41855.5984739761",
"66","[P]","    ESPN","31527.1390844036","32558.2297788922","30562.9586167561","31526.9505794359","30146.2831233429","29451.8071272667","27810.5446231152","34361.3952666576","34277.9430977304","35869.2936141574","37326.1866301267","35839.1022987111","37181.5822212275","45680.0597355546","41852.4506004781",
"67","[P]","    Federated Media Publishing","16534.8966429301","17240.4176850408","19090.1752001759","17897.486841794","19466.19326845","20063.6067705931","20425.8782333935","28641.4881966463","27923.5443628033","23984.4338654138","26105.0365545682","29417.3789652058","36002.1169768642","41567.1762492201","41818.0811173802",
"68","[P]","    UGO Entertainment","36342.1015900987","35149.1815016046","36423.1555584498","34824.5170547811","37213.58569826","40442.651045403","40041.8056749695","42719.7029819842","43222.1848704658","43156.9203544214","39353.7454841659","43408.9863326554","40728.5440607653","40037.7837448043","41490.1386786885",
"69","[P]","    MEDIAFIRE.COM","14843.0780198752","15632.6722932541","15959.6617000103","16225.6911418396","19488.9542789715","22150.432934786","27385.2183330018","30817.5724806316","31982.0575143646","34146.2552122867","33146.3208502734","36488.9316435138","37004.3772107254","37150.742411736","40490.787249828",
"70","[P]","    56.COM","39033.5380249842","33930.7753174909","33867.5121845047","29170.7942371318","36470.5543047328","32369.172367812","33727.0881345474","32790.777028836","32295.8433924823","27034.8731700673","28694.2904159289","32082.1714626571","36700.7945845763","34893.7608466275","39995.5090890964",
"71","[P]","    Groupe Lagardere","30497.3974099016","32231.515701061","34937.1127996111","34835.1042409031","33388.7380930589","34341.7657664244","36610.705319165","39282.1183977617","39865.3998594129","38668.69003886","37373.3734802982","37018.0496015655","37625.363619403","39211.4421011227","39840.4829403443",
"72","[P]","    Symantec","28806.2738524","27161.1848709825","28179.3525324092","29512.0710388649","33670.4958181303","38065.8035561545","37496.2850781497","39492.5382765175","40460.8603058909","32001.2565728055","31742.99695142","33687.5342034051","37358.2520704421","39783.4928763172","39105.5300937962",
"73","[P]","    Wal-Mart","35382.6707541431","32636.8482075026","38220.7192494584","52817.2654713398","56006.4657981441","38545.5966702063","34048.6093305334","34813.3197551086","36765.0104962121","38398.3215076485","36789.7963578663","38145.4510885864","38492.4347098572","36807.5337395611","38881.6992451403",
"74","[P]","    FILESTUBE.COM","1858.8846528817","2679.5306108186","2266.1763149568","2577.7588246475","4256.1484639757","4547.5203186644","5913.0120959904","7080.80862755776","7346.94026466409","9177.29207872042","9473.80510327925","13047.2298568115","19621.010802152","26289.7606777467","38509.942880223",
"75","[P]","    NTT Group","32299.7885447647","32628.8208699738","32847.4156393872","33019.5500079763","32419.1204766138","35280.5285345191","33652.5823411606","35343.4611743349","34973.0467007266","35274.6138418886","37457.2184534014","36835.7460531395","37329.5598989747","37186.8609755659","37823.1864760539",
"76","[P]","    Monster Worldwide","49015.1796421996","43137.695523485","43698.3214063146","39729.511240694","36505.8714167416","40691.712684126","38947.7394886303","46810.2460603734","40807.2405325816","36772.2582739167","37657.5849724026","37144.2451149354","37576.0090144177","38232.3748651641","37752.9430987772",
"77","[P]","    Livedoor Co.,Ltd.","31032.7894221195","30141.2062908592","29550.9616927342","27968.0956980868","26549.6662273465","27823.320172265","26117.2052897066","28250.027282019","27625.7017233486","27873.6038782214","31418.4658476856","29782.6385782078","30366.5320148146","31629.2838157934","36176.6429265596",
"78","[P]","    MIH Limited","33010.8465385186","32742.5680849136","30640.9480721696","31022.806575361","30599.3883819759","31270.4444299249","30690.0702561567","32639.7696174593","32229.377180967","30563.3386714984","30685.720806699","30782.4748112903","33654.7839781835","33163.6057118553","35748.5867756044",
"79","[P]","    Comment Ca Marche","N/A","N/A","N/A","N/A","N/A","22270.2075978936","25100.8594031924","26874.828879373","27689.5374746472","29840.8651955902","30286.8049300665","31202.4458412605","31680.9944296127","33119.5428636831","35430.6141891346",
"80","[P]","    Alloy Digital Network","10724.6306325842","11237.1866672096","10386.484828019","9353.3142783316","9839.8807716367","9762.3494567919","10013.1406533096","9209.50392887556","14146.5372508959","14644.046493563","21527.3167862941","24599.1843143757","23144.7606571008","35137.406580576","35300.4668171556",
"81","[P]","    BROTHERSOFT.COM","19575.5637831019","21406.330155538","22581.9588493028","23672.7651322021","23185.3048342354","27358.8125142291","19363.0308866823","16762.5239677929","16469.4466744003","17471.300915396","16626.7319459733","19118.2571537636","19765.0063521425","25012.5306375541","35210.9439501433",
"82","[P]","    LINKEDIN.COM","9753.1740961081","10795.0581195777","11212.5598186368","12112.3562558261","12728.7077715323","14769.3359331568","14497.8617596554","17112.381833279","16122.7480103103","15257.3255923544","15978.018059683","18111.374446586","20121.875838179","22541.9757910849","35168.1381050459",
"83","[P]","    NBC Universal","23850.5789607961","21830.6425772913","32013.6565309063","23790.8827331436","23288.8045209435","27112.1563057442","25784.8460635785","26011.3247267514","28867.2857547214","24725.4064769511","27410.4100717428","27202.9267646063","26863.2291396986","34919.0646412518","34894.1053856151",
"84","[P]","    Everyday Health","17371.3631632845","17655.5125726321","28954.0593066382","28111.9381542462","29895.6944095461","29302.851938248","24596.909426999","27279.6783496776","27927.540621231","27077.1727848326","25189.1678796222","24472.5068028434","33070.4640684969","35039.3042721856","34051.9718326651",
"85","[P]","    KuGou Inc.","N/A","32618.0524528955","36266.3616627762","38072.9479127186","39890.3696835768","38559.0503760758","35743.3988060051","35089.0356664669","33311.320414679","31897.7662926582","31677.9656091342","34940.6431228946","34499.9926767241","33632.6425124848","34026.9905666369",
"86","[P]","    Lycos Europe Sites","45572.8078609331","47084.326500782","49834.6801320267","49514.2800783656","50392.5179984837","37141.1159846391","37143.8766816759","37673.1631551621","37478.6040635211","35803.9407926959","32930.6861553281","33478.5859923772","33710.1713173024","34261.7554818998","34020.4605394388",
"87","[P]","    DEVIANTART.COM","15153.266208798","16580.6470063176","17792.1917223033","18609.9759725961","20348.5098401316","21954.7802576724","23509.4556802724","26596.69424935","25486.6733620792","27311.8027999878","24763.1151322631","27841.1151837206","33451.372414336","32899.4308178009","33965.4942685161",
"88","[P]","    NHN Corporation","32686.2963357244","31230.0108338934","33516.5712307341","33243.6640775147","32366.4803177467","32254.9726164555","32522.976723775","32971.611236675","33200.7142267724","33331.9199412432","32766.201211019","33672.0126393726","33079.5516365104","34349.4906515352","33947.5931077137",
"89","[P]","    OnLine eXchange","11302.5200903374","12320.9491055422","11211.282295896","9890.1720118044","10401.3579290022","14147.2696244755","16145.5900460356","21519.0779625976","23456.9997154799","25853.014457473","26671.9502939097","29391.6299667741","30382.6942386749","32681.4800949317","33944.3760470076",
"90","[P]","    EA Online","26388.616905379","29243.4437553416","30464.1446645414","29997.8168749014","33117.6066507011","29355.2814246667","29857.219279195","30451.0651118459","31480.7595283497","31681.2593042739","37184.8037080348","34736.9339840121","32464.9489414044","34203.5542965541","33757.7447114423",
"91","[P]","    International Data Group","34652.6795606327","35665.9201193091","35692.8569483665","37656.3472119471","40038.8855496678","40915.7529796472","30329.2394300791","33195.6050166209","29895.3485490527","30313.1655076938","29536.5348971431","31886.5841149207","30034.4714276249","30472.6399815543","33609.259025234",
"92","[P]","    Nokia","34115.5287151145","36959.670133085","36091.617201169","34500.6844682813","36263.6645793493","32840.3301244965","36471.2571378834","39351.5396454304","33936.684857608","29132.4138513529","31390.5322723333","31344.2462818598","31853.8533913023","32181.300937002","33569.9057362302",
"93","[P]","    PPStream, Inc.","29152.276099647","29409.6142448846","29548.0773590497","31544.653700291","32088.6401474139","32350.615067212","30836.4923712805","30602.2067069944","28958.4492527601","25829.3777456853","26916.7075776209","30076.8716036097","33804.7359863767","32044.0211295875","33515.0598398651",
"94","[P]","    WildTangent Network","30244.2926908442","28392.7349622347","27893.0943684505","28827.24886097","30925.5384530342","28878.9400963762","29534.3464001202","31358.9085792153","34380.7522882414","29323.3225582385","28745.7973915503","31695.5677071052","33175.0227152251","30612.5435685329","33258.3888703631",
"95","[P]","    Grupo Intercom","25986.0667740993","28577.8488934237","29316.5753020612","24588.111046858","13521.7311233116","15068.0083037337","16836.0008435793","19576.5672649238","19277.794008956","20468.4073648035","25822.1675499201","28260.4041945863","28385.3695689913","32301.6202478154","33043.3813513154",
"96","[P]","    MININOVA.ORG","19216.2505317543","18449.7410953483","20743.7983010434","21573.7704357163","23132.3334483966","25383.3473506598","26183.8051596602","29419.7287831504","29718.6534743925","30885.5953538175","29221.4952610964","32157.7814305959","30242.4703801366","29880.0274955028","32621.8954277248",
"97","[P]","    Mail.Ru Sites","26016.0615712232","26647.0738693375","28430.4158146719","28130.0069404208","30422.9565227266","30449.1423863305","28325.5073364704","30174.7527971172","30351.2082325726","29229.9105912935","30082.8024588863","29431.8484285429","30990.1572510771","31411.4419191222","32356.0550677143",
"98","[P]","    Otto Gruppe","30770.7104579959","31298.1718743076","32508.2582121471","33693.4459617452","35234.891122113","33451.7396924613","29831.3589080537","32205.6743729198","29875.9216605495","28693.0126882417","27449.1818726167","31652.7989982532","30914.0270804854","32873.5776968459","32213.1495035218",
