"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: March 2011 - May 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 6/18/2012","","","","","",""

"","","","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012"
"","","    Total Internet : Total Audience ","1,350,539","1,362,369","1,373,976","1,383,098","1,394,031","1,411,178","1,420,316","1,431,939","1,438,877","1,444,092","1,450,588","1,448,160","1,471,414","1,477,810","1,484,382"
"1","[P]","    Wikimedia Foundation Sites","400,011","380,716","411,061","399,362","393,543","422,779","454,529","476,627","474,723","457,063","482,157","475,699","489,402","473,380","492,393"
"2","[C](U)","    Yahoo! Answers","244,146","241,020","250,616","244,879","241,758","245,508","257,017","256,433","256,005","247,060","255,897","250,048","257,704","247,396","248,834"
"3","[C]","    Baidu Answers","101,797","96,234","104,924","108,778","114,936","119,436","124,415","132,966","129,312","130,243","135,923","145,462","159,364","150,837","147,236"
"4","[C]","    Baidu Encyclopedia","58,118","55,914","65,264","67,067","72,513","73,551","76,002","84,184","79,460","80,078","83,530","99,302","102,442","95,174","92,660"
"5","[P](U)","    Answers.com Sites","98,716","87,301","88,487","71,866","61,860","69,164","79,301","77,203","76,924","70,652","80,319","81,167","84,201","83,222","89,732"
"6","[P](U)","    Wikia Sites","39,459","37,488","39,512","39,021","39,524","40,031","40,340","44,585","47,134","47,619","50,086","47,809","50,647","48,711","50,808"
"7","[M]","    THEFREEDICTIONARY.COM","25,698","24,891","28,298","25,559","22,528","25,877","31,372","34,453","31,675","26,855","31,372","32,827","35,239","32,886","34,887"
"8","[C]","    SINA iAsk","22,146","19,936","24,783","26,181","32,876","37,576","41,210","44,618","43,467","47,024","46,355","49,887","49,259","37,429","33,053"
"9","[C]","    Goo Teaching","19,569","18,633","21,354","22,216","22,441","23,278","23,847","24,605","24,999","23,869","25,084","23,966","25,802","23,964","25,072"
"10","[P](u)","    WORDREFERENCE.COM","14,274","12,447","14,625","13,376","11,473","13,716","16,344","17,806","17,349","14,229","15,671","16,464","17,733","16,573","18,354"
"11","[P](u)","    Encyclopaedia Britannica","18,127","16,765","17,298","15,640","13,696","14,344","18,622","20,490","19,269","17,262","18,604","18,661","18,685","16,951","16,757"
"12","[P](u)","    URBANDICTIONARY.COM","9,211","9,445","10,648","11,439","11,742","12,734","12,676","14,089","14,566","14,666","14,705","14,138","13,170","13,240","14,082"
"13","[C]","    Naver.com Knowledge iN","15,244","13,719","15,164","14,912","15,674","16,244","16,889","18,049","16,578","16,947","16,776","14,724","13,234","12,766","13,044"
"14","[M](U)","    HOWSTUFFWORKS.COM*","13,234","12,622","12,898","11,725","11,808","12,040","14,225","14,149","13,881","12,250","14,037","13,631","13,628","12,406","12,975"
"15","[M]","    REVERSO.NET*","8,057","7,926","8,519","7,432","6,343","7,206","9,617","11,031","10,885","10,198","11,490","11,326","11,705","10,985","11,738"
"16","[P](U)","    WISEGEEK.COM","12,737","10,001","9,183","7,963","7,564","7,396","8,451","8,503","7,797","6,660","7,700","7,688","8,055","7,719","9,102"
"17","[P]","    ARCHIVE.ORG","5,817","5,426","7,508","6,314","6,040","8,000","7,948","7,742","9,133","10,331","11,491","10,531","8,243","7,502","8,583"
"18","[C](U)","    Yahoo! Dictionary","9,214","8,411","8,733","8,617","9,472","9,239","9,018","9,533","9,190","8,613","8,595","7,985","8,024","7,370","7,457"
"19","[C]","    SCIENCEDIRECT.COM","3,525","3,562","3,895","3,493","3,137","3,218","3,407","3,903","4,165","4,134","4,211","4,844","6,355","7,261","7,198"
"20","[M](U)","    Demand Media Network","9,019","7,679","7,268","6,275","5,998","6,316","7,105","7,476","6,637","5,632","6,272","6,187","6,524","6,211","7,040"
"21","[M]","    ICIBA.COM","6,471","5,361","6,793","10,076","9,708","5,372","5,052","6,377","6,117","6,918","6,637","6,893","6,723","5,601","6,154"
"22","[C]","    Naver.com Dictionary","5,622","5,755","6,171","6,277","5,556","6,081","6,685","7,565","7,275","6,897","6,069","5,082","5,100","5,294","5,709"
"23","[M]","    WER-WEISS-WAS.DE","6,042","5,587","6,514","6,552","6,006","4,944","4,830","4,968","5,042","4,536","5,053","4,889","5,198","5,130","5,687"
"24","[P]","    BIBLEGATEWAY.COM","4,173","3,747","4,290","3,794","3,469","4,398","4,709","4,896","4,830","4,561","5,280","5,429","5,238","5,334","5,572"
"25","[P]","    LEXILOGOS.COM","4,275","4,263","4,362","4,045","3,635","4,154","5,008","4,913","4,937","5,164","5,524","5,208","5,583","5,161","5,509"
"26","[P]","    THINKEXIST.COM","7,559","7,333","8,386","7,820","6,390","6,014","6,332","6,156","5,651","5,388","5,716","5,809","5,457","5,079","5,355"
"27","[C](U)","    ANSWERBAG.COM*","8,803","5,821","4,919","4,130","3,707","3,547","3,746","3,349","3,141","2,974","3,296","3,699","4,523","4,270","4,753"
"28","[P]","    DICT.CC","2,799","2,693","3,227","3,049","3,031","3,208","3,688","3,649","4,056","3,941","4,153","4,052","3,814","3,992","4,432"
"29","[P]","    SPRINGERLINK.COM","4,920","3,634","3,579","3,156","2,552","2,723","3,394","3,896","3,861","3,360","3,629","3,748","4,057","4,312","4,326"
"30","[P]","    ITUSOZLUK.COM","2,922","2,878","2,931","2,813","2,670","2,785","3,104","3,072","3,263","3,543","3,892","3,216","3,418","3,422","3,611"
"31","[P](U)","    POEMHUNTER.COM","2,238","2,061","2,620","2,022","1,748","1,996","2,160","2,483","2,603","2,700","3,011","3,238","3,141","2,966","3,344"
"32","[P]","    IXL.COM","1,770","2,287","1,997","2,234","1,900","2,296","3,027","4,515","4,540","2,973","4,572","4,634","4,533","3,552","3,133"
"33","[P]","    DEFINICION.DE","1,900","1,638","2,134","1,739","1,405","2,787","3,198","2,992","2,405","1,133","1,681","2,509","3,001","2,415","3,007"
"34","[P]","    BIOGRAFIASYVIDAS.COM","2,124","1,777","2,262","1,557","1,381","2,225","2,628","2,880","2,471","1,206","1,829","2,266","2,740","2,420","2,898"
