"","(u)         Partially Unified - Used to identify entities with at least one child entity that is Fully Unified, but not all.","","","","","",""
"","C         Census Only - Used to identify entities that are measured and reported completely based on Census without panel.","","","","","",""
"","++         Used to identify entities that are projected completely based on the entity's census tagged data.","","","","","",""
"","+         Used to identify entities with at least one child entity that is projected completely based on the child's census tagged data , but not all.","","","","","",""
"","T         Used to identify entities where one or more child entity is projected based on census tagged data","","","","","",""
"","[0]         This Entity is currently not tagged on any platform","","","","","",""
"","[1]         This Entity is currently tagged on 1 platform","","","","","",""
"","[2]         This Entity is currently tagged on 2 platforms","","","","","",""
"","[3]         This Entity is currently tagged on 3 platforms","","","","","",""
"","[4]         This Entity is currently tagged on 4 platforms","","","","","",""
"","w/History         Trend combines media previously reported under different parent and/or different level.","","","","","",""
"","*         Indicates that the entity has assigned traffic to certain pages in the domain to other entities","","","","","",""
"","**         Indicates that the entity is an advertising network.","","","","","",""
"","(v)         Indicates that the advertising network has been verified by comScore.","","","","","",""
"","...         Indicates data used fell below minimum reporting standards and/or data not available.","","","","","",""
"","N/A         Indicates data is not available in the data set for reporting for the specified time period.","","","","","",""
"","#         Caution - small base may result in unstable projection.","","","","","",""
"","##         Directional purposes only - base too unstable for reliable projection.","","","","","",""
""," ","","","","","",""
"","","","","","","",""
"","
comScore made an update to Worldwide population estimate. Please refer to http://mymetrix.comscore.com/app/ExtendedMMXUniversalFootNote.aspx for more information.","","","","","",""
<span id="lblFileNotFound" style="font-size:X-Large;">The Requested File Could Not be Found.</span>
