"Multi-Country Media Trend","","","Geography :: Worldwide, Non-US, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, Argentina, Australia, Austria...","","","","","","My Metrix"
"Wikimedia Foundation Sites","","","Location :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: December 2011 - December 2012","","","","","",""
"","","","Target :: Persons 15+","","","","","",""
"","","","Media :: Wikimedia Foundation Sites","","","","","",""
"","","","Measures :: Total Pages Viewed (MM)","","","","","",""
"","","","Date :: 1/20/2013","","","","","",""

"","","[P] Wikimedia Foundation Sites","","","","","","","","","","",""
"","","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012"
"1","    United States","1,252","1,360","1,391","1,334","1,362","1,396","1,282","1,331","1,279","1,280","1,339","1,215","1,349"
"2","    World-Wide","6,128","7,027","6,733","6,782","6,486","6,951","6,351","6,176","6,087","6,108","6,378","6,160","6,110"
"3","    Non-US","4,876","5,668","5,342","5,448","5,124","5,555","5,069","4,846","4,808","4,828","5,039","4,945","4,761"
"4","    Canada","296","345","334","342","345","341","339","323","294","293","317","309","311"
"5","    Argentina","47","41","44","58","54","62","55","53","57","52","56","54","45"
"6","    Australia","72","88","87","95","93","101","94","89","90","86","92","80","70"
"7","    Austria","27","34","27","26","28","28","21","18","20","20","24","25","25"
"8","    Belgium","30","37","31","29","30","32","29","22","23","22","27","29","29"
"9","    Brazil","96","97","111","134","123","135","128","107","128","124","124","128","104"
"10","    Chile","29","26","20","31","33","35","34","28","31","27","28","27","21"
"11","    China","99","122","111","129","96","115","50","46","43","31","25","23","23"
"12","    Colombia","53","72","116","106","92","101","70","78","56","53","56","45","26"
"13","    Denmark","16","17","15","16","16","16","17","13","13","16","16","16","14"
"14","    Finland","38","41","38","40","34","37","30","33","26","26","26","27","25"
"15","    France","268","311","282","252","221","270","225","230","209","221","250","240","229"
"16","    Germany","361","449","399","372","362","393","380","366","335","322","369","381","372"
"17","    Hong Kong","46","53","45","50","55","55","49","56","54","41","35","32","32"
"18","    India","163","184","200","212","198","217","233","237","242","219","230","222","236"
