"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: February 2012 - April 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 5/17/2013","","","","","",""

"","","","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013"
"","","    Total Internet : Total Audience ","1,448,160","1,471,414","1,477,810","1,484,382","1,491,181","1,498,415","1,500,916","1,506,929","1,513,410","1,519,555","1,525,501","1,530,895","1,526,768","1,554,797","1,560,778"
"1","[P]","    Google Sites","1,107,171","1,139,459","1,142,257","1,150,223","1,157,992","1,173,102","1,161,178","1,133,937","1,140,335","1,124,825","1,136,502","1,140,056","1,123,439","1,163,988","1,179,091"
"2","[P](u)","    Microsoft Sites","855,114","874,946","841,169","840,482","863,276","857,640","853,791","849,708","871,044","873,262","868,099","878,268","852,263","896,209","914,598"
"3","[P](u)","    Yahoo! Sites","688,394","712,066","697,754","698,974","694,477","679,619","698,651","715,742","730,535","728,361","735,098","736,122","708,166","742,145","742,804"
"4","[P]","    Wikimedia Foundation Sites","475,699","489,402","473,380","492,393","469,644","451,821","456,255","474,864","488,364","484,489","472,552","488,473","482,999","517,610","516,749"
"5","[P](u)","    Amazon Sites","353,548","361,472","347,640","348,139","342,898","349,307","352,400","362,129","369,504","379,102","388,671","383,891","352,119","384,160","390,465"
"6","[P]","    TENCENT Inc.","249,661","264,118","267,441","264,853","266,708","272,969","276,181","280,038","279,937","280,478","285,268","283,652","274,535","285,968","340,079"
"7","[P]","    Baidu.com Inc.","252,933","262,638","259,294","258,963","265,875","268,978","273,986","268,810","275,406","272,449","275,988","256,277","254,261","288,897","328,472"
"8","[P]","    Alibaba.com Corporation","193,567","212,963","208,185","211,748","207,704","213,129","221,261","226,107","243,191","257,086","262,344","257,643","221,562","254,821","313,176"
"9","[P]","    Sohu.com Inc.","221,334","232,116","233,852","228,400","224,609","244,115","249,030","248,946","254,822","255,678","259,412","259,286","245,316","260,138","312,454"
