"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: June 2011 - August 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 9/19/2012","","","","","",""

"","","","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012"
"15","[P]","    ARCHIVE.ORG","6,314","6,040","8,000","7,948","7,742","9,133","10,331","11,491","10,531","8,243","7,502","8,583","7,476","8,247","8,813"
"16","[M]","    REVERSO.NET*","7,432","6,343","7,206","9,617","11,031","10,885","10,198","11,490","11,326","11,705","10,985","11,738","10,157","8,837","8,687"
"17","[P](U)","    WISEGEEK.COM","7,963","7,564","7,396","8,451","8,503","7,797","6,660","7,700","7,688","8,055","7,719","9,102","7,254","6,659","7,742"
"18","[C](U)","    Yahoo! Dictionary","8,617","9,472","9,239","9,018","9,533","9,190","8,613","8,595","7,985","8,024","7,370","7,457","6,826","6,825","6,478"
"19","[M]","    ICIBA.COM","10,076","9,708","5,372","5,052","6,377","6,117","6,918","6,637","6,893","6,723","5,601","6,154","5,896","5,637","5,957"
"20","[M](U)","    Demand Media Network","6,275","5,998","6,316","7,105","7,476","6,637","5,632","6,272","6,187","6,524","6,211","7,040","5,494","5,392","5,769"
"21","[P]","    BIBLEGATEWAY.COM","3,794","3,469","4,398","4,709","4,896","4,830","4,561","5,280","5,429","5,238","5,334","5,572","5,202","4,804","5,110"
"22","[M]","    WER-WEISS-WAS.DE","6,552","6,006","4,944","4,830","4,968","5,042","4,536","5,053","4,889","5,198","5,130","5,687","5,155","5,186","4,904"
"23","[C]","    Naver.com Dictionary","6,277","5,556","6,081","6,685","7,565","7,275","6,897","6,069","5,082","5,100","5,294","5,709","5,393","5,145","4,746"
"24","[C]","    SCIENCEDIRECT.COM","3,493","3,137","3,218","3,407","3,903","4,165","4,134","4,211","4,844","6,355","7,261","7,198","4,893","4,291","4,135"
"25","[C](U)","    ANSWERBAG.COM*","4,130","3,707","3,547","3,746","3,349","3,141","2,974","3,296","3,699","4,523","4,270","4,753","3,591","3,393","3,905"
"26","[P]","    LEXILOGOS.COM","4,045","3,635","4,154","5,008","4,913","4,937","5,164","5,524","5,208","5,583","5,161","5,509","4,942","4,308","3,873"
"27","[P]","    DICT.CC","3,049","3,031","3,208","3,688","3,649","4,056","3,941","4,153","4,052","3,814","3,992","4,432","3,969","3,872","3,807"
"28","[P]","    THINKEXIST.COM","7,820","6,390","6,014","6,332","6,156","5,651","5,388","5,716","5,809","5,457","5,079","5,355","4,694","3,721","3,577"
"29","[P]","    LAWTIME.CN","2,051","2,132","2,168","2,496","2,475","2,633","2,846","2,584","3,111","2,384","2,358","1,204","1,517","2,523","3,352"
"30","[P]","    Farlex.com Sites","1,130","971","1,139","1,902","1,522","1,124","903","1,160","1,207","1,292","1,247","1,317","939","815","3,306"
"31","[P]","    DEFINICION.DE","1,739","1,405","2,787","3,198","2,992","2,405","1,133","1,681","2,509","3,001","2,415","3,007","2,360","1,655","2,959"
"32","[P]","    ITUSOZLUK.COM","2,813","2,670","2,785","3,104","3,072","3,263","3,543","3,892","3,216","3,418","3,422","3,611","3,033","2,661","2,931"
"33","[P]","    CONSUMERREPORTS.ORG","1,743","1,897","2,021","2,011","2,234","2,949","2,520","2,413","2,302","2,448","2,163","2,411","2,288","2,300","2,770"
"34","[P]","    SPRINGERLINK.COM","3,156","2,552","2,723","3,394","3,896","3,861","3,360","3,629","3,748","4,057","4,312","4,326","3,222","2,512","2,639"
"35","[P]","    IXL.COM","2,234","1,900","2,296","3,027","4,515","4,540","2,973","4,572","4,634","4,533","3,552","3,133","2,545","2,451","2,317"
"36","[P](U)","    POEMHUNTER.COM","2,022","1,748","1,996","2,160","2,483","2,603","2,700","3,011","3,238","3,141","2,966","3,344","2,505","2,216","2,264"
"37","[P]","    ASKMEHELPDESK.COM","1,509","1,454","1,113","1,339","2,520","2,260","1,944","2,079","2,083","2,087","2,354","2,310","2,766","2,780","2,177"
"38","[P]","    WOXIKON.DE","1,734","1,623","1,652","1,842","2,288","2,244","2,094","2,253","2,108","2,123","2,140","2,305","2,349","2,101","2,133"
"39","[P]","    MIRSOVETOV.RU","1,606","1,855","1,771","1,894","2,275","2,390","2,479","2,630","2,474","2,704","2,242","2,338","2,173","2,049","2,083"
"40","[P]","    BIOGRAFIASYVIDAS.COM","1,557","1,381","2,225","2,628","2,880","2,471","1,206","1,829","2,266","2,740","2,420","2,898","2,102","1,512","2,056"
"41","[P]","    GUNS.RU","1,546","1,843","1,635","1,772","2,040","2,089","2,095","2,235","2,362","2,438","2,202","2,135","1,904","1,911","2,047"
"42","[P]","    SCIELO.BR","1,633","1,243","1,942","2,736","2,858","3,141","2,150","2,100","2,344","3,522","2,342","2,482","1,864","1,261","1,934"
"43","[P]","    COINMILL.COM","2,362","2,737","2,556","2,815","2,870","3,018","2,745","2,894","2,067","2,289","1,930","2,251","2,087","2,057","1,897"
"44","[P]","    ACRONYMFINDER.COM","1,423","1,322","1,140","1,253","1,538","1,474","1,473","1,738","1,715","1,731","1,852","1,869","1,788","1,560","1,882"
"45","[P]","    UN.ORG","1,669","1,270","1,517","2,299","2,457","2,773","1,949","1,931","2,502","2,805","2,187","2,699","2,159","1,688","1,821"
"46","[M]","    LAROUSSE.FR","1,048","920","1,079","1,609","1,779","1,794","1,980","2,098","2,394","2,346","2,366","2,465","2,167","1,744","1,793"
"47","[P]","    5156EDU.COM","1,272","846","1,283","1,639","1,683","1,511","2,017","1,361","1,903","1,879","1,772","1,662","1,776","1,573","1,712"
"48","[P]","    WORLDCAT.ORG","931","909","1,259","1,897","2,202","2,218","2,052","2,167","2,489","2,491","2,315","2,179","1,686","1,866","1,641"
"49","[P]","    DUDEN.DE","652","747","874","1,125","1,205","1,346","1,222","1,543","1,433","1,618","1,406","1,568","1,722","1,585","1,619"
"50","[P]","    TURNITIN.COM","1,008","815","994","1,833","2,392","2,281","1,722","1,734","2,240","2,949","2,564","2,427","1,387","932","1,551"
"51","[M]","    WEBOPEDIA.COM","1,161","1,071","1,024","1,442","1,557","1,484","1,192","1,563","1,618","1,525","1,569","1,512","1,329","1,475","1,431"
"52","[P]","    ONLINECONVERSION.COM","1,493","1,311","1,624","1,827","1,779","1,721","1,640","1,892","2,169","1,959","1,601","1,987","1,730","1,513","1,402"
"53","[M]","    QUIBBLO.COM","994","1,075","441","378","488","652","472","793","984","1,176","1,296","1,511","1,370","1,479","1,341"
"54","[P]","    TRANSLATED.NET","748","842","947","1,013","1,045","1,146","951","1,159","1,059","1,158","1,067","1,347","1,382","1,295","1,317"
"55","[P]","    TURKCEBILGI.COM","1,941","1,837","2,065","2,623","3,206","2,689","2,655","2,310","2,243","2,643","2,616","2,312","1,407","1,313","1,249"
"56","[P]","    ArticlesBase.com Sites","1,469","1,350","1,336","1,200","1,226","1,262","931","1,005","985","1,366","1,327","1,553","1,325","1,037","1,221"
"57","[P]","    CALEND.RU","899","829","972","1,279","1,272","1,626","1,221","1,351","1,524","1,347","1,768","1,475","1,349","1,048","1,187"
"58","[P]","    TRANSLIT.RU","1,003","1,077","1,290","1,160","1,196","1,232","1,322","1,417","1,490","1,468","1,408","1,322","1,203","1,205","1,159"
"59","[P]","    BOOKZ.RU","1,111","1,257","1,240","1,429","1,661","1,719","1,624","1,635","1,401","1,299","1,066","1,252","1,255","1,169","1,154"
"60","[P]","    BIBLIOTEKAR.RU","1,467","1,079","974","1,806","2,335","2,467","2,222","2,130","1,900","2,131","2,039","2,442","1,851","1,152","1,078"
"61","[P]","    ARABIC-KEYBOARD.ORG","1,192","1,208","1,305","1,440","1,605","1,433","1,533","1,531","1,414","1,386","1,297","1,413","1,305","1,148","1,065"
"62","[P]","    SMARTDRAW.COM","1,004","1,062","923","1,153","1,197","1,386","1,086","1,428","1,247","1,320","1,115","1,184","1,070","1,051","1,056"
"63","[P]","    ALDEBARAN.RU","995","1,061","961","1,123","1,197","1,143","1,175","1,350","1,179","1,281","1,006","1,123","1,058","1,049","1,046"
"64","[P]","    PEOPLES.RU","1,235","1,321","1,117","1,235","1,419","1,500","1,834","1,878","1,801","2,176","2,039","1,884","1,521","1,183","1,045"
"65","[P]","    THAIGOODVIEW.COM","1,557","1,553","1,739","1,986","1,237","1,488","1,621","1,782","1,139","850","523","910","1,136","1,246","1,038"
"66","[P]","    ALC.CO.JP","1,177","1,089","1,230","1,190","1,210","1,110","1,052","1,244","1,159","1,075","1,194","1,230","1,215","1,205","984"
"67","[P]","    SERIALSSOLUTIONS.COM","465","471","588","891","1,061","1,058","863","1,071","1,156","1,466","1,451","1,136","855","933","978"
"68","[P]","    SLD.CU","939","887","1,140","1,408","1,531","1,416","955","1,059","1,356","1,515","1,316","1,592","1,156","894","971"
"69","[P]","    PHRASES.ORG.UK","918","745","844","956","1,125","1,063","1,555","1,210","1,156","1,114","976","979","984","854","944"
"70","[P]","    ENERGYGUIDE.COM","955","994","1,050","1,001","1,100","970","958","898","925","918","814","769","879","998","910"
"71","[P]","    KLERK.RU","1,133","952","800","980","1,130","1,105","1,128","1,329","1,446","1,454","1,367","1,186","991","997","895"
"72","[P]","    SO100.CN","101","91","432","275","103","262","367","303","603","251","144","293","724","703","873"
"73","[P]","    VDICT.COM","751","653","1,126","1,127","1,219","1,144","1,014","861","1,035","1,101","1,102","956","856","847","845"
"74","[P]","    ABBREVIATIONS.COM","1,034","930","932","1,019","1,188","1,269","1,245","1,019","805","925","836","1,030","1,033","923","807"
"75","[P]","    MIJNWOORDENBOEK.NL","1,084","846","947","1,219","1,434","1,371","1,342","1,321","1,316","1,394","1,246","1,205","1,105","914","781"
"76","[P]","    123HELPME.COM","859","652","624","1,323","1,665","1,789","1,366","1,318","1,647","1,829","1,651","1,903","1,066","701","741"
"77","[P]","    EMERALDINSIGHT.COM","524","414","556","731","966","1,019","1,011","836","899","1,086","1,162","982","670","577","718"
"78","[P]","    BrainPOP","501","324","607","1,138","1,438","1,305","925","1,275","1,482","1,284","1,071","1,122","578","336","697"
"79","[P]","    BUSINESSBALLS.COM","773","900","944","1,228","1,142","1,053","1,079","1,043","1,086","978","869","1,065","842","676","673"
"80","[P]","    SCIELO.CL","571","511","707","992","1,014","1,080","641","684","913","987","919","1,084","759","635","668"
"81","[P]","    ANGLAISFACILE.COM","992","838","873","1,225","1,515","1,556","1,253","1,563","1,373","1,396","1,193","1,686","1,276","835","665"
"82","[P]","    TRADUCEGRATIS.COM","1,000","990","1,200","1,430","1,259","1,145","1,078","1,086","1,094","971","823","826","756","733","659"
"83","[P]","    GOGEN-ALLGUIDE.COM","446","413","492","610","636","527","620","745","570","666","575","575","600","644","640"
"84","[P]","    DICOCITATIONS.COM","891","531","591","615","638","807","890","1,151","1,026","850","789","1,101","882","622","639"
"85","[P]","    HOWTODOTHINGS.COM","1,068","1,066","996","1,098","1,065","902","858","699","785","796","957","924","810","661","637"
"86","[P]","    VERTALEN.NU","976","759","781","902","921","895","821","968","884","891","766","811","785","627","632"
"87","[P]","    NOLO.COM","462","501","564","458","599","625","520","670","748","846","572","735","648","742","614"
"88","[P]","    ENGLISCH-HILFEN.DE","860","530","511","999","1,244","1,224","1,084","1,046","1,002","1,229","1,066","1,318","964","598","603"
"89","[P]","    DEXONLINE.RO","573","507","543","741","841","887","804","892","859","821","656","822","728","601","583"
"90","[P]","    ZARGAN.COM","879","887","935","1,006","1,238","1,189","1,152","1,070","958","1,015","858","777","632","579","576"
"91","[P]","    PWN.PL","784","510","550","898","1,033","1,084","954","1,183","1,034","1,064","947","1,106","954","592","573"
"92","[P]","    MOREWORDS.COM","576","568","665","916","983","864","911","1,164","1,110","1,104","963","825","698","657","567"
"93","[P]","    QURANEXPLORER.COM","543","550","928","489","501","387","440","493","491","488","451","526","539","682","565"
"94","[P](u)","    QUESTIA.COM","695","585","699","904","1,365","1,517","1,053","1,118","1,320","1,370","1,386","1,102","751","587","563"
"95","[P]","    OMNIGLOT.COM","558","606","641","733","775","711","804","676","655","702","670","650","682","588","552"
"96","[P]","    SOZLUK.NET","547","532","910","971","1,048","1,016","1,121","1,098","886","868","873","820","644","572","547"
"97","[C]","    LIBRARYTHING.COM","690","626","602","819","1,004","1,073","946","839","618","499","476","438","525","356","546"
"98","[P](U)","    ALTALEX.COM","271","241","184","340","369","374","306","386","444","415","347","369","863","812","538"
"99","[P]","    HONEYWELL.COM","470","395","512","546","603","681","419","621","604","586","688","659","539","698","533"
"100","[P]","    INGENTACONNECT.COM","370","373","478","508","627","657","480","527","648","729","810","579","511","616","516"
"101","[C]","    ALLEXPERTS.COM","852","707","645","695","683","701","632","650","696","638","738","725","534","607","511"
"102","[P]","    STROYPORTAL.RU","362","375","354","324","397","377","336","331","378","425","451","455","475","469","508"
"103","[P]","    QUECHOISIR.ORG","418","321","327","323","596","421","522","995","724","632","520","512","637","593","507"
"104","[P]","    SACRED-TEXTS.COM","338","319","454","548","537","556","414","561","604","544","563","483","429","482","485"
"105","[P]","    BNF.FR","431","315","523","598","755","669","840","864","718","626","671","706","458","427","481"
"106","[P]","    TRANSLATE.PL","715","622","684","790","847","915","851","961","775","763","665","804","629","502","468"
"107","[M]","    CODEGURU.COM","438","329","363","405","663","821","542","645","704","742","690","828","570","556","465"
"108","[P]","    SYNONYMES.COM","452","325","460","655","753","728","606","690","827","884","690","856","641","473","453"
"109","[P]","    ACTUALICESE.COM","649","650","806","815","861","885","663","790","775","755","724","750","545","521","441"
"110","[P]","    ENGLISHPAGE.COM","628","464","461","758","827","805","646","672","722","766","593","723","684","408","439"
"111","[P]","    GEOGRAPH.ORG.UK","369","378","371","370","489","362","324","435","571","562","425","353","421","364","432"
"112","[P]","    REPEC.ORG","418","351","353","430","591","533","574","592","500","632","709","508","430","431","428"
"113","[P]","    WEBSTERS-ONLINE-DICTIONARY.ORG","531","437","555","495","523","457","470","463","454","458","426","422","307","365","381"
"114","[P]","    STARS21.COM","744","694","624","550","507","616","637","636","613","545","507","519","486","463","375"
"115","[P]","    DEFINICION.ORG","264","150","269","333","350","326","140","209","375","477","387","437","328","231","373"
"116","[P]","    JEWISHVIRTUALLIBRARY.ORG","281","206","296","416","530","495","468","490","495","512","445","621","394","283","367"
"117","[P]","    MANSIONINGLES.COM","481","427","521","615","705","767","390","580","666","692","488","545","505","385","360"
"118","[P]","    POETS.ORG","270","219","299","321","485","492","500","500","629","616","745","665","428","317","359"
"119","[P]","    KWINTESSENTIAL.CO.UK","381","433","265","427","457","531","427","508","594","700","498","599","493","340","356"
"120","[P]","    USHISTORY.ORG","228","254","240","695","806","516","453","462","516","479","499","452","436","291","355"
"121","[P]","    OCLC.ORG","172","154","129","299","376","388","249","226","377","376","346","325","259","336","342"
"122","[P]","    MORFIX.CO.IL","15","13","14","16","18","14","15","1","0","N/A","4","3","5","44","340"
"123","[P]","    MYDICT.COM","451","343","373","355","415","529","562","390","362","347","336","397","311","294","339"
"124","[C]","    BOOKFINDER.COM","285","315","423","375","365","343","433","352","379","406","356","331","326","245","323"
"125","[P]","    EVERYTHING2.COM","294","180","235","296","371","262","134","248","345","365","327","423","356","393","322"
"126","[P]","    PSICOLOGIA-ONLINE.COM","410","341","380","461","604","475","338","387","548","470","392","466","416","261","313"
"127","[P]","    INFORMATIONSARCHIV.NET","518","545","425","423","540","385","444","463","424","406","354","336","246","245","311"
"128","[P]","    WIKILEARNING.COM","1,082","817","977","690","685","572","296","343","428","496","440","532","382","243","307"
"129","[P]","    ONELOOK.COM","320","297","321","426","478","380","402","482","512","461","438","420","306","382","300"
"130","[P]","    ALLGREATQUOTES.COM","794","773","648","497","450","367","368","470","316","476","349","581","357","190","298"
"131","[P]","    OSZK.HU","183","167","277","441","340","284","247","274","225","253","241","356","314","249","287"
"132","[P]","    VISUALTHESAURUS.COM","142","161","213","329","299","243","218","228","273","283","246","196","180","164","285"
"133","[P]","    NEWWORLDENCYCLOPEDIA.ORG","528","404","452","712","751","527","510","517","529","622","515","606","363","300","278"
"134","[P]","    NYPL.ORG","221","209","255","258","334","264","314","322","315","356","320","334","254","367","273"
"135","[P]","    FAMOUSPOETSANDPOEMS.COM","531","389","347","431","553","583","410","457","514","570","562","611","285","321","268"
"136","[P]","    POEMSOURCE.COM","660","405","490","464","524","496","610","482","788","358","363","660","385","233","267"
"137","[P]","    LEXICOOL.COM","367","327","312","407","429","437","402","425","370","471","426","394","342","304","265"
"138","[P]","    LIB.OH.US","231","216","255","227","280","304","262","303","251","217","230","249","282","263","261"
"139","[P]","    SPISHY.RU","174","91","120","1,498","1,455","1,450","1,542","1,362","1,534","1,524","1,845","1,612","282","125","259"
"140","[C]","    Voila.fr Translation","619","396","364","588","512","537","381","449","413","441","226","328","348","259","257"
"141","[P]","    THEOI.COM","176","175","197","263","316","283","282","334","330","368","338","360","211","234","256"
"142","[P]","    INFOVISUAL.INFO","228","246","270","393","441","442","234","307","386","350","386","504","294","221","249"
"143","[P]","    YEMINLISOZLUK.COM","270","256","321","319","474","524","576","452","377","353","312","327","259","260","248"
"144","[P]","    WEBELEMENTS.COM","157","179","290","509","634","534","441","548","402","438","345","345","364","168","245"
"145","[P]","    NOTAIRES.FR","371","242","241","460","384","343","259","301","331","459","309","262","295","305","243"
"146","[P]","    BIREME.BR","370","238","346","407","408","440","237","212","236","317","304","364","261","169","242"
"147","[P]","    UNIVERSALIS.FR","409","244","276","402","521","516","427","511","515","609","728","728","437","258","238"
"148","[M]","    Informit Network","66","92","79","137","143","155","138","160","204","240","174","225","206","256","235"
"149","[P]","    AIES.CN","283","364","125","223","168","198","296","307","278","N/A","151","185","162","207","234"
"150","[P]","    ELITESKILLS.COM","230","117","168","276","323","290","230","305","320","401","452","343","237","175","230"
"151","[P]","    KDD.CC","240","196","279","170","106","249","221","144","83","203","237","208","245","205","229"
"152","[P]","    DICTS.INFO","306","203","223","266","272","282","259","338","488","304","326","268","271","252","223"
"153","[P]","    QUOTELAND.COM","153","157","126","187","266","226","203","205","215","244","227","250","199","201","213"
"154","[P]","    MIRSLOVAREI.COM","822","271","218","495","812","735","814","648","596","763","761","753","390","219","208"
"155","[P]","    FREEDICT.COM","293","276","325","342","378","348","358","300","224","241","234","187","217","203","205"
"156","[P]","    NATIVE-LANGUAGES.ORG","160","201","184","334","333","324","269","273","221","277","243","249","253","208","203"
"157","[P]","    FREELANG.NET","221","207","234","249","266","259","272","321","200","180","186","224","212","200","201"
"158","[P]","    MEGAESSAYS.COM","395","247","293","556","529","532","448","415","416","458","457","641","310","224","199"
"159","[P]","    TOPLUMDUSMANI.NET","238","182","200","392","750","801","844","681","605","789","796","658","259","218","197"
"160","[P]","    EXAMPLEESSAYS.COM","668","506","451","872","1,053","1,064","835","733","872","893","900","599","372","246","183"
"161","[P]","    LOTSOFESSAYS.COM","269","193","212","368","373","443","213","206","255","398","407","488","282","150","176"
"162","[P]","    ARTCYCLOPEDIA.COM","170","139","187","188","232","212","246","250","272","268","260","212","125","96","167"
"163","[P]","    NCIKU.COM","219","148","247","241","242","267","299","193","150","237","235","158","119","167","167"
"164","[P]","    FOURMILAB.CH","300","550","691","695","430","223","228","240","182","240","117","216","161","149","166"
"165","[P]","    ALA.ORG","188","143","208","276","307","323","220","314","285","287","294","297","278","242","160"
"166","[P]","    MANAGEMENTHELP.ORG","301","229","204","307","295","302","278","280","257","262","178","272","277","129","158"
"167","[P]","    WISDOMQUOTES.COM","634","570","561","658","727","580","483","441","413","368","262","222","283","178","154"
"168","[P]","    VICTORIANWEB.ORG","192","175","117","292","268","243","246","266","250","339","274","351","224","187","152"
"169","[P]","    ARKITERA.COM","177","151","144","170","235","218","225","219","222","214","220","184","156","133","151"
"170","[P]","    CUCUMIS.ORG","207","204","185","218","268","227","248","213","209","213","168","167","175","206","150"
"171","[P]","    EGO4U.DE","323","161","139","343","476","510","459","449","334","381","317","478","337","122","148"
"172","[P]","    ABCPEDIA.COM","412","273","358","379","299","254","217","156","260","266","190","273","192","101","148"
"173","[P]","    BEST-LOVE-POEMS.COM","743","496","429","377","396","360","330","304","437","298","238","252","280","215","147"
"174","[P]","    WISSEN.DE","579","399","354","508","479","543","417","490","429","336","237","338","244","201","145"
"175","[P]","    SLOVO.WS","131","50","79","826","656","622","879","779","883","776","979","966","142","64","143"
"176","[P]","    VITALREC.COM","111","184","181","109","175","182","139","180","185","202","96","181","96","143","137"
"177","[P]","    AMERICANRHETORIC.COM","127","144","162","255","161","174","137","308","179","308","264","188","142","88","137"
"178","[P]","    YOURCHILDLEARNS.COM","111","118","145","261","248","128","185","218","267","180","137","127","119","200","133"
"179","[P]","    U-S-HISTORY.COM","154","123","97","420","451","463","343","462","478","466","357","463","226","143","132"
"180","[P]","    BrainyMedia Sites","123","156","205","214","233","161","168","204","196","132","188","212","153","165","130"
"181","[P]","    WWWW4.COM","446","152","131","243","197","276","303","278","319","335","375","477","250","87","119"
"182","[P]","    PANTHEON.ORG","136","139","122","222","269","231","177","183","228","215","243","229","153","205","116"
"183","[P]","    ALLWORDS.COM","135","79","111","144","163","127","124","190","114","140","156","145","178","143","116"
"184","[P]","    MOLWICK.COM","272","179","259","279","238","182","102","145","168","229","198","173","141","93","115"
"185","[P]","    NOODLETOOLS.COM","201","103","61","232","328","459","351","422","482","579","437","475","199","61","114"
"186","[P]","    EYEWITNESSTOHISTORY.COM","102","68","109","197","240","245","204","215","234","269","230","272","171","154","112"
"187","[P]","    ZENO.ORG","210","133","187","241","225","248","194","199","147","170","191","193","184","140","112"
"188","[P]","    LECTLAW.COM","164","184","157","176","226","142","143","184","146","148","158","183","147","99","110"
"189","[P]","    CUMMINGSSTUDYGUIDES.NET","218","149","192","326","433","388","250","314","315","250","278","322","161","116","109"
"190","[P]","    FRENCH-LINGUISTICS.CO.UK*","214","159","148","249","318","258","203","202","227","243","215","224","213","116","108"
"191","[P]","    WORDWEBONLINE.COM","165","99","169","262","165","132","129","143","129","198","149","142","116","102","108"
"192","[P]","    LUMINARIUM.ORG","125","93","111","181","210","233","183","296","175","232","181","218","170","88","107"
"193","[P]","    CALCULATOR.COM","561","525","513","751","847","852","766","711","215","209","213","230","121","133","106"
"194","[P]","    ILMAINENSANAKIRJA.FI","121","99","115","129","155","121","130","123","106","115","93","127","95","81","101"
"195","[P]","    IPL.ORG","175","95","106","164","273","232","185","185","264","339","290","253","148","173","98"
"196","[P]","    TOPPRODUCT.NL","196","170","189","161","193","155","153","203","149","139","129","139","104","120","97"
"197","[P]","    PETS4YOU.COM","118","179","119","119","146","130","170","99","172","145","100","122","107","58","94"
"198","[P]","    ERUDITION.RU","242","67","50","277","368","385","507","355","298","402","419","511","209","76","91"
"199","[C]","    Virgilio Sapere","133","92","87","142","166","159","112","140","155","156","142","164","90","90","90"
"200","[P]","    BIYOGRAFI.INFO","148","181","166","212","282","285","282","252","214","250","285","187","89","73","85"
"201","[P]","    ABIPUR.DE","210","102","77","171","196","289","198","236","209","226","171","266","190","46","85"
"202","[M]","    POETRY.COM","87","103","70","58","113","47","70","63","88","153","147","106","99","95","85"
"203","[P]","    JURIS.DE","406","349","148","101","110","179","87","85","120","99","96","164","148","126","84"
"204","[P]","    SEVGILIYE.COM","290","219","289","186","184","217","248","200","377","121","91","108","86","91","72"
"205","[P]","    EPNET.COM","245","299","297","334","362","250","188","151","103","138","77","106","98","67","70"
"206","[P]","    LEXINTER.NET","395","146","164","208","176","210","231","187","181","281","375","155","192","154","70"
"207","[P]","    Antiqbook","84","115","101","89","86","91","88","91","101","142","76","77","55","44","64"
"208","[P]","    ECHEAT.COM","193","121","117","218","241","291","169","127","193","154","137","244","107","70","62"
"209","[P]","    POEMOFQUOTES.COM","171","171","167","134","175","178","145","114","134","165","135","113","59","43","57"
"210","[P]","    ACADEMON.COM","136","154","80","295","159","186","113","82","118","187","194","171","74","86","53"
"211","[P]","    GLOSSARY.RU","390","97","99","249","311","328","349","245","169","214","222","262","170","67","53"
"212","[P]","    SOBRESITES.COM","167","124","122","117","109","88","53","63","83","74","60","72","44","35","51"
"213","[P]","    MADSCI.ORG","82","79","55","100","126","112","68","105","101","150","116","124","80","67","50"
