"MEDIA TREND REPORT","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: All Locations","","","","","","(c)2010 comScore, Inc"
"","","","Time Period :: October 2008 - December 2009","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 1/22/2010","","","","","",""

"","","","Oct-2008","Nov-2008","Dec-2008","Jan-2009","Feb-2009","Mar-2009","Apr-2009","May-2009","Jun-2009","Jul-2009","Aug-2009","Sep-2009","Oct-2009","Nov-2009","Dec-2009",
"","","    Total Internet : Total Audience ","984395.826294133","996304.186347561","1007729.81860618","1020582.44278524","1078911.08635968","1092598.40882481","1108030.9458575","1122330.92527274","1135655.52350335","1151380.73736206","1165193.68774526","1179318.23663022","1190150.95988819","1206050.98497758","1222236.54778436",
"1","[P]","    Google Sites","753081.181998179","758588.13888237","775980.315335309","771553.007559057","816983.239676272","830662.907302113","845622.755317938","840410.22282364","844245.495249014","853819.724101407","867617.642500262","879175.953021656","891948.998360446","889522.030912563","899426.2191292",
"2","[P]","    Microsoft Sites","639829.149643781","638569.823812533","646915.397793839","632548.405442514","675271.647914319","692478.942155128","690985.683307579","682204.540187859","691361.915115504","701833.782673618","707802.794124945","717909.860943044","732862.094671433","730348.45066584","727410.458708329",
"3","[P]","    Yahoo! Sites","557687.145083702","554145.243832762","562571.191073837","558113.909462185","578479.265699931","594148.991203578","590301.03311566","570250.493168438","581337.102905795","591757.838335354","595982.555972757","602609.777423054","605543.644763853","601503.433924886","594349.335841833",
"4","[P]","    FACEBOOK.COM","181772.389495134","200188.826231782","221790.736343478","236292.190930943","275642.122487932","294674.67459109","307100.66863879","315999.936594925","340011.382468703","369551.029810082","389524.97351596","410952.850296417","430208.903042349","438146.201066126","468707.555431721",
"5","[P]","    Wikimedia Foundation Sites","277207.6531177","280969.054817848","272998.17604537","289810.731922668","300751.439527477","327147.670937931","320042.850437752","317254.958053379","302939.582719941","295484.361601212","307641.427749709","325998.219950234","344563.337769953","345805.151567511","347019.745760992",
"6","[P]","    AOL LLC","267782.601797355","268312.474572626","273019.900454274","271016.248036263","276793.340047344","285516.951895221","290751.438564329","286825.592772437","279555.543783968","268382.654149661","260546.620380393","255088.13834679","258391.658955247","256386.319199414","268197.338858458",
"7","[P]","    eBay","233044.330808316","233173.32386531","240947.402037945","231551.506028518","234560.494700509","250155.800614224","246146.758179104","238147.630294216","233483.266979682","236818.723532804","243334.566277701","239633.702353817","243460.64673806","246712.107520181","262746.292989143",
"8","[P]","    Amazon Sites","159807.117314683","169903.207071481","187353.865939655","188202.006894928","183002.729162552","194927.843266853","192441.333438375","188601.84865658","185035.212079945","197306.208789825","200671.324995198","201903.852503201","212204.203426558","223851.12730849","240584.111924582",
"9","[P]","    Ask Network","153488.415477459","160489.296033971","164513.492596745","164190.623585786","164566.160991339","172551.979967465","169915.644040763","171612.533035182","173765.935330407","191752.302479853","189937.40227509","207555.10268701","209778.520502892","213974.793319844","215730.214023714",
"10","[P]","    CBS Interactive","174183.25368278","171724.352089544","178843.705449949","180319.157441068","185641.670246256","202560.045099691","192200.194219534","185351.245347975","185679.000208827","195694.855564081","194036.025485512","195793.800743179","201899.166661943","201809.499021553","211360.436887931",
"11","[P]","    Apple Inc.","145753.429834564","147927.7119082","161499.646762831","157638.943771112","158271.876873648","170395.052926281","167911.803769912","166754.070614427","173022.286700806","177227.078672546","176467.562502725","183162.6179613","187990.63620531","192619.692434251","209500.340734544",
"12","[P]","    Fox Interactive Media","169074.764247884","168475.103290706","172841.426588352","173366.107460764","175275.657210888","183136.982394439","179562.978634324","177339.611301312","169831.403703417","170108.61439103","164611.759822854","168676.886219005","166036.13902838","159182.162612172","174582.019298949",
"13","[P]","    The Mozilla Organization","77620.293313431","102559.221547643","114337.513304818","82643.1907740229","128380.335472256","153829.803398876","152228.829625633","113431.384052679","137198.367308682","138865.531728822","161892.8736612","155888.931236405","135901.616915493","147930.12644569","167696.973661915",
"14","[P]","    Glam Media","97588.5558486295","95165.6597496567","110577.353654078","103134.365228192","102197.924088118","108823.924731632","110811.407485842","117662.607899169","110407.925963077","114546.529332604","112687.633073466","125516.41263071","134384.614732163","140755.186177152","159793.233547273",
"15","[P]","    WordPress","112763.878118432","115123.448510868","117154.717157291","120191.522944373","126167.923954718","144111.351686719","143042.076135135","145981.202975205","137298.657043298","140138.795283252","137478.348506725","141230.56397842","151763.551356981","154479.965627761","159638.815899593",
"16","[P]","    TENCENT Inc.","155708.037337193","157213.00208336","158616.746207838","156047.230769749","155603.292715421","154583.346550981","154477.78520882","148169.279709648","152191.94865572","146397.973915314","145701.020262101","149802.564604258","151019.122337708","152325.108174457","153375.661392743",
"17","[P]","    Baidu.com Inc.","149514.17621891","148747.921765635","152446.568361794","147418.884963699","147588.933687737","147281.189409805","147447.089126077","152086.644709309","148321.658924016","145361.417483515","145573.073077133","147471.763729774","152489.867725155","152398.453451623","152199.293264902",
"18","[P]","    Adobe Sites","127977.080517246","124739.595883204","123622.96840224","127542.652014159","127086.838037115","140949.819418167","134269.624584747","132616.537476323","145847.447674652","148608.340831896","148378.294588517","150206.422539308","149878.045637511","140051.721006753","140010.768428919",
"19","[P]","    NetShelter Technology Media","49572.3253662523","58426.779127575","74173.4241960437","77883.6530411894","83103.1387036013","90672.5363562939","90223.6214278936","90563.926806506","86665.0097349911","89888.9281872921","93643.801447798","97336.5605697876","104929.574177042","108239.153090423","122455.35392777",
"20","[P]","    Alibaba.com Corporation","85931.2918710628","91244.1275057812","94532.2561036915","82441.3653495042","85617.4086616089","89724.5713989588","84348.5520935883","82438.5989735069","91978.7896935993","96175.3577836738","102480.17281303","104549.230805459","106637.54713786","110156.176724861","112038.646876481",
"21","[P]","    Turner Network","72197.477312143","76460.9137285749","73052.3009158954","85784.6372814794","77830.3049856062","78052.1310897954","79488.4709732881","79520.0457115062","81476.4946392824","81575.7836370605","76308.5792914484","75835.497242008","90422.283056946","92053.770204589","103274.402302028",
"22","[P]","    Viacom Digital","89793.4413356127","88478.328809832","90098.6046203515","92193.8589326027","91484.1641969797","97221.4783613478","97238.4757212374","97018.8744268213","100555.71591201","101528.923708161","98669.87906669","95490.9417522713","96631.1592475867","96031.480573016","100745.110058581",
"23","[P]","    SINA Corporation","110930.741944658","110509.298183456","112374.907934356","109486.569618435","111460.251495143","111761.373499816","111114.454208843","98596.1281645228","100273.805681195","101584.206539508","108467.287331335","106003.575799829","112604.196576012","106411.507477534","100109.900768962",
"24","[P]","    New York Times Digital","74104.0721813261","74082.3562376921","73466.8220507382","85819.5873672459","83900.5164171403","87705.3318478685","85778.6782908192","84111.3266326997","80054.2796630161","81169.8027378171","83293.9576728089","86648.1287020468","91515.0555251953","91972.851196921","96533.541147478",
"25","[P]","    Warner Music","6912.938056291","6985.3728658667","7051.0274039332","6256.6888014423","6055.27953671995","6474.19190313164","6753.81326112735","6765.92579849634","6493.34709778495","6809.3850023102","6719.57306005335","6652.61049919758","7037.51895330119","6682.789893921","89013.909152207",
"26","[P]","    RapidShare AG","49508.0472325975","55209.1890767851","59289.1897972612","64872.2172199437","71469.4369399602","79561.6246235234","77053.3590246977","79201.3772093076","75470.2760170581","79125.3173212692","78902.8113634977","77833.0743246619","83193.5716320539","82575.877569126","83591.896036674",
"27","[P]","    BitTorrent Network","32825.386300901","36328.8054985642","41332.0708058044","44533.4283983819","47296.0702597651","52276.2251994239","55390.4133407105","57363.6083207885","60312.6415416768","63323.9572558176","66186.8415574139","68277.1479728896","73800.555027636","77060.650523654","81709.154020408",
"28","[P]","    Real.com Network","74439.9624654854","74443.8448790993","75819.229205833","77149.6488322597","79927.3802125365","83971.2489332718","83363.0627204149","80082.2409633226","78115.0668219946","86400.9641931524","80792.5072770917","77981.3764089302","84513.672911463","76784.129389974","81687.431983157",
"29","[P]","    NetEase.com Inc.","81618.1598778231","79452.5890650224","78656.5359154841","70925.1438534926","76054.7139784617","76297.2707484522","75533.9161748013","69095.8458514849","73026.5608521891","75241.6917009044","82069.5009168047","86774.4385750389","93950.4357745587","89858.651557842","81562.691502842",
"30","[P]","    Sohu.com Inc.","81860.1275523842","79745.8697834565","85866.4256867726","76419.6080351497","80777.3659689573","81026.5760670544","80113.3640016903","69524.2756987209","70983.5936364047","76919.5466999057","82719.1950839076","81062.1919778308","84744.1717986455","77542.133409925","78853.787912925",
"31","[P]","    Sony Online","55453.2395491064","60933.3150327565","64409.0919413125","62630.1147423153","57930.1488638287","57332.7154691721","58110.2044773266","63566.4238297016","62856.6442513724","62178.6440553103","61505.8058257226","65663.7930290689","68946.8713023896","74102.787931398","74778.68345722",
"32","[P]","    Demand Media","40057.7394452275","38087.2026896313","41145.9983740674","43813.5472045192","43700.280763635","47480.8124439676","48442.3840102194","50112.1899749214","46658.6338198434","52606.4430036703","54643.4357369047","73394.4909462236","76939.0710936536","73367.390549084","70855.998832359",
"33","[P]","    Technorati Media","34588.2844803531","36953.4855546658","34974.276216683","39531.6171398149","44847.1019769632","59396.5553740797","57461.6066722555","61334.4711892207","51379.2818982255","58260.8226628992","69336.655298634","76877.8961664421","66273.0290650616","71371.389380815","70446.375980862",
"34","[P]","    Break Media","31970.0070955288","33454.097313395","36641.0627474021","39918.2993420522","41731.7930754189","44754.1955146408","45793.901515468","53316.0047742711","52208.3300423634","57333.4971670314","55895.7956611577","59961.4365562666","61806.7409251905","66818.644536293","69008.165981219",
"35","[P]","    Answers.com Sites","41814.0304665995","41544.9676738134","39696.276425611","44958.2529407353","45702.89910544","50175.9574503074","51780.064702013","52659.8064337434","48260.522201512","51578.5114684381","65929.9966174698","83059.3531598042","84120.1609421886","75959.034066501","67704.774489609",
"36","[P]","    Photobucket.com LLC","45450.0365776739","44927.2804613664","46303.1622025211","48842.1741390248","58571.2597531946","86406.4364852389","62011.4686187807","75804.9548581001","59609.6005599231","63893.9364603441","61624.9782494746","59849.4524378945","62092.7211641425","61092.007828173","65372.114557094",
"37","[P]","    TWITTER.COM*","4360.6796040351","5137.2288301564","4354.1786021345","6090.2188161214","9821.18132190884","19114.892888522","32145.9910133302","37322.8990173015","44519.6572285109","51623.2078930796","54696.3654096055","58435.3982389177","58344.8308756909","60336.909753144","65195.81758123",
"38","[P]","    DAILYMOTION.COM","37309.0675106363","39628.3147909895","40602.935773196","42872.3227849212","47693.3942134292","53553.7603294353","57775.1148081302","54494.6655305586","54529.23925537","57583.8069310113","58154.1642158672","55009.9218422662","58434.3254907513","61609.562631245","64834.836733045",
"39","[P]","    Gorilla Nation","65242.4563712629","57910.8729771145","61148.2407794657","64462.8174142344","63375.6256060127","68393.3963486427","65329.9429078289","65845.2713657977","59506.4085944242","64178.8715479876","61795.8572558974","59234.7804425122","61666.0600824074","60543.091270899","64758.246301785",
"40","[P]","    Xunlei Networking","78187.7983279651","86303.0621374955","93121.3495681953","85473.8047029609","82952.5894217157","74168.6525560972","68501.3467901194","63075.9455062144","68048.8662472984","69579.5453033621","72969.2176611946","65737.7352592826","67562.0720797559","68084.538039017","63867.589411971",
"41","[P]","    MEGAUPLOAD.COM","22782.4815505857","24048.4302321292","27673.1167894828","31365.0579321359","34634.8643609293","45863.4196423682","46151.0022353121","44977.9499907419","44290.4422684166","49622.930688002","49991.8516999197","50369.6473325098","55205.1347419699","57468.565630872","62442.264442938",
"42","[P]","    Wal-Mart","38220.7192494584","52817.2654713398","56006.4657981441","38545.5966702063","34048.6093305334","34813.3197551086","36765.0104962121","38398.3215076485","36789.7963578663","38145.4510885864","38492.4347098572","36807.5337395611","38881.6992451403","56022.917931452","61944.5272300471",
"43","[P]","    CONDUIT.COM","21375.5243431397","23251.2012980505","26339.0280928128","31817.1662605711","29556.0410002033","33440.7067553614","36502.5830125602","42697.1587508433","43470.9362305808","45574.0064766709","48272.9830789038","49108.5447160975","51699.2210979127","53641.401502246","60548.0934634",
"44","[P]","    Tudou Sites","59833.4113623333","59239.5828717297","65564.775538984","66080.3949102429","62144.4524837852","58410.3553600912","57408.44907151","49313.819530509","50310.4814610711","57458.7569736493","60207.7323423884","58352.256951913","63821.9811731409","62475.985153972","60019.516300435",
"45","[P]","    Lycos Sites","59591.9538320712","57841.639479445","56323.7164500055","58538.3339596824","61003.5491275558","64331.2962540697","62378.0938777398","60463.8540144249","56495.6115793704","57527.6057495881","57386.0616398163","57373.3566877712","60360.5578274247","58154.137153368","59327.600798008",
"46","[P]","    Expedia Inc","47842.8272796003","46625.5267895954","44409.8272265317","55480.6141789746","54497.1022828693","58895.8618125045","57929.7295013734","56453.4238089151","59572.1651069158","67218.2804245907","63559.6478605677","59685.1894122229","59176.7464663524","56614.679024783","58133.890982439",
"47","[P]","    Terra - Telefonica","48491.3593818635","46964.2441080858","50507.2089905436","49340.7536018876","50112.7082373594","54769.692441834","51700.8108752915","51864.3227400237","50324.2613462255","53810.1393749557","54544.7267885112","55290.2544080619","56834.5752723934","55192.466916014","57900.356097837",
"48","[P]","    Orange Sites","55062.9085117869","59515.2107604367","53859.8076319291","51517.8842073766","55094.5106211927","61078.8293610351","58117.7300186109","57707.8890805205","54779.6929417729","52108.1886403642","54322.526516258","55591.664303559","57756.3445605272","58817.534099932","57650.609596368",
