"Multi-Country Media Trend","","","Geography :: Worldwide, Non-US, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, Argentina, Australia, Austria                                                               ...","","","","","","My Metrix"
"Wikimedia Foundation Sites","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: May 2012 - May 2013","","","","","",""
"","","","Target :: Persons 15+","","","","","",""
"","","","Media :: Wikimedia Foundation Sites","","","","","",""
"","","","Measures :: Total Pages Viewed (MM)","","","","","",""
"","","","Date :: 7/8/2013","","","","","",""

"","","[P] Wikimedia Foundation Sites","","","","","","","","","","",""
"","","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013"
"1","    World-Wide","6,951","6,351","6,176","6,087","6,108","6,378","6,160","6,110","6,623","6,189","7,109","6,799","6,954"
"2","    Non-US","5,555","5,069","4,846","4,808","4,828","5,039","4,945","4,761","5,324","4,952","5,548","5,331","5,531"
"3","    Europe","2,710","2,413","2,226","2,215","2,300","2,490","2,512","2,474","2,881","2,533","2,789","2,637","2,764"
"4","    North America","1,737","1,622","1,653","1,574","1,573","1,656","1,525","1,660","1,614","1,519","1,903","1,801","1,737"
"5","    United States","1,396","1,282","1,331","1,279","1,280","1,339","1,215","1,349","1,299","1,237","1,561","1,467","1,424"
"6","    Asia Pacific","1,510","1,428","1,501","1,452","1,365","1,331","1,246","1,262","1,353","1,237","1,372","1,325","1,417"
"7","    Latin America","607","525","457","503","525","536","497","365","413","580","687","680","681"
"8","    Japan","670","649","712","660","645","603","565","558","621","524","549","509","555"
"9","    United Kingdom","406","385","367","410","391","371","379","374","471","408","449","411","423"
"10","    Russian Federation","358","320","277","283","311","347","335","357","380","336","370","356","387"
"11","    Germany","393","380","366","335","322","369","381","372","437","398","410","382","381"
"12","    Middle East - Africa","387","363","339","343","343","365","380","349","363","320","358","355","355"
"13","    Canada","341","339","323","294","293","317","309","311","315","282","342","333","313"
"14","    France","270","225","230","209","221","250","240","229","251","241","252","246","280"
"15","    India","217","233","237","242","219","230","222","236","251","241","272","260","279"
"16","    Brazil","135","128","107","128","124","124","128","104","113","238","290","273","267"
"17","    Italy","162","141","131","120","143","144","142","135","167","147","163","163","171"
"18","    Spain","100","92","79","89","92","100","103","93","108","98","105","112","119"
"19","    Mexico","126","99","70","113","134","128","115","74","99","111","108","111","109"
"20","    Netherlands","98","89","81","70","75","80","85","77","101","85","100","84","93"
"21","    Australia","101","94","89","90","86","92","80","70","74","69","84","83","87"
"22","    Turkey","82","61","60","66","62","75","74","85","89","73","88","87","85"
"23","    Colombia","101","70","78","56","53","56","45","26","33","59","63","67","68"
"24","    Taiwan","75","79","70","72","49","44","49","52","59","49","64","65","64"
"25","    Argentina","62","55","53","57","52","56","54","45","41","46","60","59","61"
"26","    Hong Kong","55","49","56","54","41","35","32","32","33","30","38","40","40"
"27","    Sweden","37","29","29","27","31","31","30","32","35","31","36","34","38"
"28","    Venezuela","32","30","21","16","17","30","28","15","24","26","29","29","35"
"29","    Belgium","32","29","22","23","22","27","29","29","34","28","32","32","34"
"30","    China","115","50","46","43","31","25","23","23","21","15","21","27","31"
"31","    Finland","37","30","33","26","26","26","27","25","26","24","28","31","30"
"32","    Austria","28","21","18","20","20","24","25","25","28","24","29","27","30"
"33","    Malaysia","30","27","27","25","25","27","27","28","28","25","31","30","28"
"34","    Chile","35","34","28","31","27","28","27","21","21","15","23","25","27"
"35","    Israel","26","25","23","20","21","24","23","23","22","16","21","22","22"
"36","    Switzerland","26","24","17","17","20","20","20","19","24","20","24","20","22"
"37","    Norway","25","21","15","18","17","20","22","19","23","19","22","22","20"
"38","    Singapore","18","18","19","18","16","17","17","16","17","14","18","17","18"
"39","    Portugal","18","15","14","12","14","16","15","14","15","14","17","16","17"
"40","    New Zealand","18","17","17","16","15","16","15","13","14","11","14","15","16"
"41","    South Africa","17","12","14","15","12","13","12","10","13","13","13","14","16"
"42","    Denmark","16","17","13","13","16","16","16","14","16","15","16","16","15"
"43","    Ireland","15","14","15","14","12","13","13","13","15","13","15","15","15"
"44","    Puerto Rico","5","4","4","5","5","5","4","4","3","4","5","6","4"
"45","    South Korea","30","29","45","41","41","41","27","50","31","...","...","...","..."
"","MyMetrix Legend","","","","","",""
"","[P]         Property","","","","","",""
"","[M]         Media Title","","","","","",""
"","[C]         Channel","","","","","",""
"","[S]         Subchannel","","","","","",""
"","[G]         Group","","","","","",""
"","[SG]         Subgroup","","","","","",""
"","[E]         Custom Entity","","","","","",""
"","[N]         Ad Network","","","","","",""
"","[A#]         Alternate Rollup","","","","","",""
"","[X1]         Extended Network","","","","","",""
"","[BSN]         Buy Side Advertising Network","","","","","",""
"","[DSP]         Demand Side Platform","","","","","",""
"","[EX]         Exchanges","","","","","",""
"","[SSP]         Sell Side Platform","","","","","",""
"","(U)         Fully Unified - Used to identify entities that are measured and reported completely based on Panel-Centric Unified (Panel + Census) measurement.","","","","","",""
"","(u)         Partially Unified - Used to identify entities with at least one child entity that is Fully Unified, but not all.","","","","","",""
