Media Trend			Geography :: Worldwide						My Metrix								
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L..."			Location :: All Locations						"(c)2010 comScore, Inc"								
			Time Period :: December 2008 - February 2010														
			Target :: Total Audience														
			"Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L..."														
			Measures :: Total Unique Visitors (000)														
			Date :: 3/29/2010														
																	
			Dec-08	Jan-09	Feb-09	Mar-09	Apr-09	May-09	Jun-09	Jul-09	Aug-09	Sep-09	Oct-09	Nov-09	Dec-09	Jan-10	Feb-10
		    Total Internet : Total Audience 	1007729.819	1020582.443	1078911.086	1092598.409	1108030.946	1122330.925	1135655.524	1151380.737	1165193.688	1179318.237	1190150.96	1206050.985	1222236.548	1237448.176	1203553.333
1	[P]	    Google Sites	775980.3153	771553.0076	816983.2397	830662.9073	845622.7553	840410.2228	844245.4952	853819.7241	867617.6425	879175.953	891948.9984	889522.0309	899426.2191	919720.4762	883504.3648
2	[P]	    Microsoft Sites	646915.3978	632548.4054	675271.6479	692478.9422	690985.6833	682204.5402	691361.9151	701833.7827	707802.7941	717909.8609	732862.0947	730348.4507	727410.4587	734177.1998	734985.6274
3	[P]	    Yahoo! Sites	562571.1911	558113.9095	578479.2657	594148.9912	590301.0331	570250.4932	581337.1029	591757.8383	595982.556	602609.7774	605543.6448	601503.4339	594349.3358	598881.181	558896.0144
4	[P]	    FACEBOOK.COM	221790.7363	236292.1909	275642.1225	294674.6746	307100.6686	315999.9366	340011.3825	369551.0298	389524.9735	410952.8503	430208.903	438146.2011	468707.5554	471446.645	462685.2566
5	[P]	    Wikimedia Foundation Sites	272998.176	289810.7319	300751.4395	327147.6709	320042.8504	317254.9581	302939.5827	295484.3616	307641.4277	325998.22	344563.3378	345805.1516	347019.7458	364718.7877	345220.6832
6	[P](h)	    AOL LLC	273019.9005	271016.248	276793.34	285516.9519	290751.4386	286825.5928	279555.5438	268382.6541	260546.6204	255088.1383	258391.659	256386.3192	268197.3389	267055.4887	255998.8119
7	[P]	    eBay	240947.402	231551.506	234560.4947	250155.8006	246146.7582	238147.6303	233483.267	236818.7235	243334.5663	239633.7024	243460.6467	246712.1075	262746.293	259865.7171	241812.4595
