"Multi-Country Media Trend","","","Geography :: Worldwide, Non-US, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, Argentina, Australia, Austria                                                               ...","","","","","","My Metrix"
"Wikimedia Foundation Sites","","","Universe :: Home and Work","","","","","","(c)2014 comScore, Inc"
"","","","Time Period :: January 2013 - January 2014","","","","","",""
"","","","Target :: Persons 15+","","","","","",""
"","","","Media :: Wikimedia Foundation Sites","","","","","",""
"","","","Measures :: Total Pages Viewed (MM)","","","","","",""
"","","","Date :: 2/27/2014","","","","","",""

"","","[P] Wikimedia Foundation Sites","","","","","","","","","","",""
"","","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Dec-2013","Jan-2014"
"1","    United States","1,299","1,237","1,561","1,467","1,424","1,364","1,324","1,272","1,206","1,289","1,197","1,170","1,070"
"2","    Worldwide","6,623","6,189","7,109","6,799","6,954","6,480","6,260","6,044","5,890","6,379","6,463","5,829","6,349"
"3","    Non-US","5,324","4,952","5,548","5,331","5,531","5,116","4,936","4,772","4,684","5,091","5,266","4,659","5,279"
"4","    Canada","315","282","342","333","313","294","279","259","244","273","269","264","264"
"5","    Argentina","41","46","60","59","61","57","51","56","49","52","54","35","32"
"6","    Australia","74","69","84","83","87","87","79","76","68","71","65","56","60"
"7","    Austria","28","24","29","27","30","28","24","21","21","25","30","25","29"
"8","    Belgium","34","28","32","32","34","30","20","25","25","27","30","24","28"
"9","    Brazil","113","238","290","273","267","266","210","220","217","222","228","168","162"
"10","    Chile","21","15","23","25","27","27","24","23","18","21","19","14","13"
"11","    China","21","15","21","27","31","28","40","29","25","32","30","34","26"
"12","    Colombia","33","59","63","67","68","47","60","68","61","62","49","26","34"
"13","    Denmark","16","15","16","16","15","15","12","11","12","12","11","11","12"
"14","    Finland","26","24","28","31","30","25","26","27","24","23","26","21","20"
"15","    France","251","241","252","246","280","255","263","230","236","295","313","247","287"
"16","    Germany","437","398","410","382","381","374","316","325","302","319","328","281","350"
"17","    Hong Kong","33","30","38","40","40","37","36","38","37","37","35","33","33"
"18","    India","251","241","272","260","279","293","316","295","261","291","288","276","291"
