name,label,latitude,longitude,borderColor,highlightBorderColor,population,perc_population,connected,perc_connected,requests,requests_per_connected_person,perc_share_total,breakdown_by_country,viewfreq_per_country
World,W,44,-175,black,black,7390^M,100%,3208^M,43%,14815^M,4.6,100%,1:USA:US:N:324^M:4.4%:88%:3276^M:22.1%|2:JPN:Japan:N:127^M:1.7%:91%:1127^M:7.6%|3:DEU:Germany:N:82^M:1.1%:87%:1003^M:6.8%|4:GBR:UK:N:65^M:0.9%:83%:752^M:5.1%|5:RUS:Russia:N:147^M:2.0%:70%:606^M:4.1%|6:FRA:France:N:65^M:0.9%:80%:572^M:3.9%|7:ITA:Italy:N:61^M:0.8%:59%:539^M:3.6%|8:IND:India:S:1330^M:18.0%:35%:529^M:3.6%|9:CAN:Canada:N:37^M:0.5%:81%:380^M:2.6%|10:IRN:Iran:S:79^M:1.1%:32%:375^M:2.5%|11:BRA:Brazil:S:207^M:2.8%:58%:319^M:2.2%|12:ESP:Spain:N:46^M:0.6%:0%:271^M:1.8%|13:MEX:Mexico:S:129^M:1.7%:49%:260^M:1.8%|14:POL:Poland:N:38^M:0.5%:63%:260^M:1.8%|15:AUS:Australia:N:24^M:0.3%:76%:239^M:1.6%|16:TWN:Taiwan:S:24^M:0.3%:79%:192^M:1.3%|17:NLD:Netherlands:N:17^M:0.2%:93%:191^M:1.3%|18:ARG:Argentina:S:44^M:0.6%:59%:161^M:1.1%|19:TUR:Turkey:S:79^M:1.1%:47%:153^M:1.0%|20:UKR:Ukraine:N:43^M:0.6%:44%:152^M:1.0%|21:IDN:Indonesia:S:261^M:3.5%:20%:133^M:0.9%|22:SWE:Sweden:N:9.9^M:0.1%:92%:128^M:0.9%|23:CHN:China:S:1378^M:18.7%:52%:127^M:0.9%|24:PHL:Philippines:S:103^M:1.4%:43%:121^M:0.8%|25:KOR:South Korea:N:51^M:0.7%:82%:111^M:0.7%|26:COL:Colombia:S:49^M:0.7%:48%:105^M:0.7%|27:CHE:Switzerland:N:8.3^M:0.1%:83%:104^M:0.7%|28:AUT:Austria:N:8.7^M:0.1%:76%:100^M:0.7%|29:BEL:Belgium:N:11^M:0.2%:76%:93^M:0.6%|30:HKG:Hong Kong:S:7.3^M:0.10%:72%:91^M:0.6%|31:IRL:Ireland:N:4.8^M:0.06%:79%:82^M:0.6%|32:MYS:Malaysia:S:32^M:0.4%:63%:81^M:0.5%|33:FIN:Finland:N:5.5^M:0.07%:88%:81^M:0.5%|34:CZE:Czech Rep.:N:11^M:0.1%:74%:76^M:0.5%|35:CHL:Chile:S:18^M:0.2%:63%:75^M:0.5%|36:ISR:Israel:S:8.6^M:0.1%:64%:74^M:0.5%|37:PER:Peru:S:31^M:0.4%:37%:73^M:0.5%|38:THA:Thailand:S:66^M:0.9%:30%:72^M:0.5%|39:VEN:Venezuela:S:31^M:0.4%:50%:67^M:0.5%|40:PAK:Pakistan:S:194^M:2.6%:18%:64^M:0.4%|41:VNM:Vietnam:S:93^M:1.3%:44%:61^M:0.4%|42:SGP:Singapore:S:5.5^M:0.07%:72%:61^M:0.4%|43:ROU:Romania:N:20^M:0.3%:55%:57^M:0.4%|44:NOR:Norway:N:5.2^M:0.07%:92%:55^M:0.4%|45:DNK:Denmark:N:5.7^M:0.08%:92%:54^M:0.4%|46:GRC:Greece:N:11^M:0.1%:59%:52^M:0.3%|47:HUN:Hungary:N:9.8^M:0.1%:74%:51^M:0.3%|48:SAU:Saudi Arabia:S:31^M:0.4%:53%:51^M:0.3%|49:ZAF:South Africa:S:56^M:0.8%:43%:45^M:0.3%|50:PRT:Portugal:N:10^M:0.1%:65%:45^M:0.3%|

Global North,GN,34,-175,black,black,1309^M,17.7%,994^M,76%,10768^M,11,72.7%,1:USA:US:N:324^M:4.4%:88%:3276^M:22.1%|2:JPN:Japan:N:127^M:1.7%:91%:1127^M:7.6%|3:DEU:Germany:N:82^M:1.1%:87%:1003^M:6.8%|4:GBR:UK:N:65^M:0.9%:83%:752^M:5.1%|5:RUS:Russia:N:147^M:2.0%:70%:606^M:4.1%|6:FRA:France:N:65^M:0.9%:80%:572^M:3.9%|7:ITA:Italy:N:61^M:0.8%:59%:539^M:3.6%|8:CAN:Canada:N:37^M:0.5%:81%:380^M:2.6%|9:ESP:Spain:N:46^M:0.6%:0%:271^M:1.8%|10:POL:Poland:N:38^M:0.5%:63%:260^M:1.8%|11:AUS:Australia:N:24^M:0.3%:76%:239^M:1.6%|12:NLD:Netherlands:N:17^M:0.2%:93%:191^M:1.3%|13:UKR:Ukraine:N:43^M:0.6%:44%:152^M:1.0%|14:SWE:Sweden:N:9.9^M:0.1%:92%:128^M:0.9%|15:KOR:South Korea:N:51^M:0.7%:82%:111^M:0.7%|16:CHE:Switzerland:N:8.3^M:0.1%:83%:104^M:0.7%|17:AUT:Austria:N:8.7^M:0.1%:76%:100^M:0.7%|18:BEL:Belgium:N:11^M:0.2%:76%:93^M:0.6%|19:IRL:Ireland:N:4.8^M:0.06%:79%:82^M:0.6%|20:FIN:Finland:N:5.5^M:0.07%:88%:81^M:0.5%|21:CZE:Czech Rep.:N:11^M:0.1%:74%:76^M:0.5%|22:ROU:Romania:N:20^M:0.3%:55%:57^M:0.4%|23:NOR:Norway:N:5.2^M:0.07%:92%:55^M:0.4%|24:DNK:Denmark:N:5.7^M:0.08%:92%:54^M:0.4%|25:GRC:Greece:N:11^M:0.1%:59%:52^M:0.3%|26:HUN:Hungary:N:9.8^M:0.1%:74%:51^M:0.3%|27:PRT:Portugal:N:10^M:0.1%:65%:45^M:0.3%|28:NZL:New Zealand:N:4.7^M:0.06%:77%:44^M:0.3%|29:SRB:Rep. of Serbia:N:7.1^M:0.10%:72%:36^M:0.2%|30:BLR:Belarus:N:9.5^M:0.1%:55%:35^M:0.2%|31:BGR:Bulgaria:N:7.2^M:0.10%:52%:34^M:0.2%|32:HRV:Croatia:N:4.2^M:0.06%:71%:28^M:0.2%|33:SVK:Slovakia:N:5.4^M:0.07%:79%:22^M:0.1%|34:SVN:Slovenia:N:2.1^M:0.03%:70%:15^M:0.10%|35:LTU:Lithuania:N:2.9^M:0.04%:84%:13^M:0.09%|36:EST:Estonia:N:1.3^M:0.02%:77%:12^M:0.08%|37:BIH:Bosnia:N:3.5^M:0.05%:79%:12^M:0.08%|38:LVA:Latvia:N:2.0^M:0.03%:84%:10^M:0.07%|39:ALB:Albania:N:2.9^M:0.04%:63%:7.9^M:0.05%|40:MDA:Moldova:N:3.6^M:0.05%:50%:7.5^M:0.05%|41:LUX:Luxembourg:N:576^K:0.008%:84%:7.5^M:0.05%|42:MKD:Macedonia:N:2.1^M:0.03%:0%:7.0^M:0.05%|43:CYP:Cyprus:N:847^K:0.01%:89%:4.3^M:0.03%|44:MLT:Malta:N:429^K:0.006%:66%:3.7^M:0.03%|45:ISL:Iceland:N:336^K:0.005%:91%:3.4^M:0.02%|46:MNE:Montenegro:N:622^K:0.008%:60%:2.9^M:0.02%|47:BHS:Bahamas:N:378^K:0.005%:0%:1.2^M:0.008%|48:JEY:Jersey:N:103^K:0.001%:38%:902^K:0.006%|49:IMN:Isle of Man:N:84^K:0.001%:0%:829^K:0.006%|50:GGY:Guernsey:N:63^K:0.0009%:0%:554^K:0.004%

Global South,GS,34,-157,black,black,6069^M,82.1%,2213^M,36%,4013^M,2,27.1%,1:IND:India:S:1330^M:18.0%:35%:529^M:3.6%|2:IRN:Iran:S:79^M:1.1%:32%:375^M:2.5%|3:BRA:Brazil:S:207^M:2.8%:58%:319^M:2.2%|4:MEX:Mexico:S:129^M:1.7%:49%:260^M:1.8%|5:TWN:Taiwan:S:24^M:0.3%:79%:192^M:1.3%|6:ARG:Argentina:S:44^M:0.6%:59%:161^M:1.1%|7:TUR:Turkey:S:79^M:1.1%:47%:153^M:1.0%|8:IDN:Indonesia:S:261^M:3.5%:20%:133^M:0.9%|9:CHN:China:S:1378^M:18.7%:52%:127^M:0.9%|10:PHL:Philippines:S:103^M:1.4%:43%:121^M:0.8%|11:COL:Colombia:S:49^M:0.7%:48%:105^M:0.7%|12:HKG:Hong Kong:S:7.3^M:0.10%:72%:91^M:0.6%|13:MYS:Malaysia:S:32^M:0.4%:63%:81^M:0.5%|14:CHL:Chile:S:18^M:0.2%:63%:75^M:0.5%|15:ISR:Israel:S:8.6^M:0.1%:64%:74^M:0.5%|16:PER:Peru:S:31^M:0.4%:37%:73^M:0.5%|17:THA:Thailand:S:66^M:0.9%:30%:72^M:0.5%|18:VEN:Venezuela:S:31^M:0.4%:50%:67^M:0.5%|19:PAK:Pakistan:S:194^M:2.6%:18%:64^M:0.4%|20:VNM:Vietnam:S:93^M:1.3%:44%:61^M:0.4%|21:SGP:Singapore:S:5.5^M:0.07%:72%:61^M:0.4%|22:SAU:Saudi Arabia:S:31^M:0.4%:53%:51^M:0.3%|23:ZAF:South Africa:S:56^M:0.8%:43%:45^M:0.3%|24:ECU:Ecuador:S:17^M:0.2%:38%:40^M:0.3%|25:ARE:UAE:S:9.9^M:0.1%:49%:35^M:0.2%|26:KAZ:Kazakhstan:S:18^M:0.2%:54%:35^M:0.2%|27:NGA:Nigeria:S:187^M:2.5%:46%:33^M:0.2%|28:EGY:Egypt:S:91^M:1.2%:46%:32^M:0.2%|29:DZA:Algeria:S:40^M:0.5%:16%:28^M:0.2%|30:MAR:Morocco:S:34^M:0.5%:54%:28^M:0.2%|31:AGO:Angola:S:24^M:0.3%:15%:26^M:0.2%|32:BGD:Bangladesh:S:161^M:2.2%:39%:25^M:0.2%|33:AFG:Afghanistan:S:28^M:0.4%:7%:20^M:0.1%|34:DOM:Dominican Rep.:S:10^M:0.1%:47%:19^M:0.1%|35:GTM:Guatemala:S:16^M:0.2%:18%:18^M:0.1%|36:BOL:Bolivia:S:11^M:0.1%:38%:17^M:0.1%|37:URY:Uruguay:S:3.5^M:0.05%:55%:16^M:0.1%|38:CRI:Costa Rica:S:4.9^M:0.07%:44%:15^M:0.1%|39:KEN:Kenya:S:47^M:0.6%:36%:14^M:0.10%|40:AZE:Azerbaijan:S:9.8^M:0.1%:58%:13^M:0.09%|41:PAN:Panama:S:3.8^M:0.05%:40%:13^M:0.09%|42:TUN:Tunisia:S:11^M:0.2%:43%:12^M:0.08%|43:IRQ:Iraq:S:38^M:0.5%:8%:12^M:0.08%|44:LKA:Sri Lanka:S:21^M:0.3%:23%:12^M:0.08%|45:PRY:Paraguay:S:6.9^M:0.09%:36%:11^M:0.07%|46:SLV:El Salvador:S:6.5^M:0.09%:22%:11^M:0.07%|47:GEO:Georgia:S:3.7^M:0.05%:0%:11^M:0.07%|48:KWT:Kuwait:S:4.2^M:0.06%:49%:9.7^M:0.07%|49:NPL:Nepal:S:28^M:0.4%:38%:9.7^M:0.07%|50:PRI:Puerto Rico:S:3.5^M:0.05%:78%:9.2^M:0.06%

North America,NA,49,-104,black,blue,490^M,6.6%,380^M,77%,3919^M,10,26.5%,1:USA:US:N:324^M:4.4%:88%:3276^M:22.1%|2:CAN:Canada:N:37^M:0.5%:81%:380^M:2.6%|3:MEX:Mexico:S:129^M:1.7%:49%:260^M:1.8%|4:BHS:Bahamas:N:378^K:0.005%:0%:1.2^M:0.008%|5:BMU:Bermuda:N:62^K:0.0008%:107%:436^K:0.003%

Central America,CA,12.6,-88,black,black,88^M,1.2%,24^M,27%,115^M,5,0.8%,1:DOM:Dominican Rep.:S:10^M:0.1%:47%:19^M:0.1%|2:GTM:Guatemala:S:16^M:0.2%:18%:18^M:0.1%|3:CRI:Costa Rica:S:4.9^M:0.07%:44%:15^M:0.1%|4:PAN:Panama:S:3.8^M:0.05%:40%:13^M:0.09%|5:SLV:El Salvador:S:6.5^M:0.09%:22%:11^M:0.07%|6:PRI:Puerto Rico:S:3.5^M:0.05%:78%:9.2^M:0.06%|7:HND:Honduras:S:8.7^M:0.1%:17%:8.3^M:0.06%|8:NIC:Nicaragua:S:6.3^M:0.08%:14%:5.5^M:0.04%|9:TTO:Trinidad and Tobago:S:1.3^M:0.02%:58%:4.1^M:0.03%|10:JAM:Jamaica:S:2.7^M:0.04%:40%:3.6^M:0.02%|11:HTI:Haiti:S:11^M:0.1%:9%:2.3^M:0.02%|12:CUB:Cuba:S:11^M:0.2%:25%:1.7^M:0.01%|13:GLP:Guadeloupe:S:400^K:0.005%:0%:1.4^M:0.009%|14:CYM:Cayman Islands:S:60^K:0.0008%:66%:454^K:0.003%|15:BLZ:Belize:S:376^K:0.005%:28%:445^K:0.003%|16:LCA:Saint Lucia:S:186^K:0.003%:31%:400^K:0.003%|17:ATG:Antigua and Barbuda:S:86^K:0.001%:66%:347^K:0.002%|18:VIR:Virgin Islands, US:S:106^K:0.001%:32%:319^K:0.002%|19:DMA:Dominica:S:71^K:0.0010%:61%:229^K:0.002%|20:GRD:Grenada:S:103^K:0.001%:37%:202^K:0.001%|21:KNA:Saint Kitts and Nevis:S:46^K:0.0006%:89%:182^K:0.001%|22:TCA:Turks and Caicos Islands:S:31^K:0.0004%:0%:131^K:0.0009%|23:VCT:Saint Vincent and the Grenadines:S:110^K:0.001%:49%:119^K:0.0008%|24:VGB:Virgin Islands, UK:S:29^K:0.0004%:51%:115^K:0.0008%|25:AIA:Anguilla:S:13^K:0.0002%:76%:51^K:0.0003%

